#Load Traffic-Mode Burst-Size Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.950 0            1          0.999979        2550.06         15545       4802        5534        6958        1148616830    1065363357    16317950      0             293252758280  178752180569  19350601244   706234550     57973261      40061806      30310676      24316897      20267097      17371139      15206399      13514544      12162454      11055486      10141960      9360242       8688278       8105111       7601914       7155277       6759393       6403805       6084771       5794900       5531851       5290532       5070724       4863071       4675316       4503621       4346257       4194720       4055304       3924178       3803646       3688012       3574322       3473600       3381258       3289173       3200157       3118746       3040504       2960891       2896906       2823972       2755304       2686674       2622192       2557071       2487838       2423509       2355442       2281190       2209293       2126240       2038005       1937702       1827139       1699199       1549822       1372697       1176574       944623        691422        424058        174115        
0.950 1            1          0.999999        72.7556         3316        159         277         626         3919756520    3891127096    8411849       0             101569134048  90912678764   2917860451    3041324392    380653968     185587476     101994593     58373035      34259223      20579689      12556094      7748889       4829257       3032468       1930799       1251010       837094        597563        469152        412596        405583        434352        504331        613647        784251        1025523       1351346       1758686       2237253       2760692       3290916       3785452       4193600       4474925       4607070       4575461       4390296       4076428       3657311       3180389       2676337       2186250       1730797       1331589       992189        723375        512852        355983        244168        163476        108772        71092         45921         29213         17880         10480         5839          3065          1468          627           229           81            22            3             1             1             0             
0.950 2            1          0.999983        2094.06         17234       5534        6330        7766        2381030326    2316241195    5766850       0             452288764388  329625538028  8899216412    1952113417    64862293      42043097      31135408      24616933      20387177      17427402      15218381      13524917      12162993      11060359      10142171      9357816       8686719       8110997       7602892       7157766       6755943       6401620       6074912       5795895       5525999       5287319       5068622       4867279       4679327       4508251       4346351       4195914       4053016       3922835       3796231       3680760       3570315       3461890       3354579       3252176       3145658       3044007       2934588       2820820       2697256       2561870       2406952       2240448       2050577       1844331       1619414       1388369       1149339       913554        696685        503330        342734        216576        126199        67002         31504         13077         4476          1266          275           41            6             
0.950 3            1          0.999998        203.097         906         373         418         496         4564434494    4535394564    5308595       0             709491765169  608110840596  19046138836   3682430007    497581991     178466513     79120280      39024872      19650631      9975826       5170272       2780510       1552649       897753        534770        326087        202640        130067        88834         68005         63877         75306         104106        154098        226773        326420        455649        615044        797652        1002339       1214154       1427872       1630201       1804828       1954605       2067625       2144941       2184417       2195712       2183672       2153060       2112826       2061634       2006422       1937582       1855576       1758207       1638251       1497451       1345364       1179957       1012073       846735        686758        540611        408257        292903        199125        125569        73850         40004         19286         8112          2867          840           164           12            
0.950 0            2          0.999977        2869.92         18131       5526        6418        8174        1537920267    1459562360    12477499      0             333676014093  215760570628  15935705628   1106017549    55723498      39276856      30050118      24211454      20239035      17362506      15206064      13509063      12165079      11063486      10132865      9357825       8688202       8110366       7605164       7153102       6755332       6399367       6081140       5794236       5528770       5288883       5070263       4866235       4679252       4506326       4344916       4197166       4051944       3924017       3798287       3684911       3572987       3467558       3369723       3275891       3184403       3098974       3009573       2921346       2844075       2759939       2677333       2592600       2512564       2425839       2335905       2240415       2143361       2032098       1917752       1793058       1655983       1505528       1346119       1170419       986040        795066        605263        420436        255864        124079        36799         
0.950 1            2          0.999999        98.7802         5125        215         375         864         4305362580    4278867241    6282781       0             137764650422  124854611761  2856152310    3478321463    380646134     175442651     91889796      50206228      28224217      16282329      9558966       5694020       3429498       2087606       1293388       826488        554461        406935        339020        322519        346866        411130        523549        696103        947385        1281584       1701781       2185832       2711411       3235260       3706020       4080132       4328203       4426920       4365876       4165006       3843665       3440171       2981888       2510569       2047270       1623195       1246839       931558        675627        477467        328461        220628        146132        94636         60835         38381         23544         14563         8587          4907          2590          1322          581           242           107           32            5             1             0             0             0             
0.950 2            2          0.999981        2350.87         21260       6334        7342        9190        2657703989    2597869763    4289054       0             512666853478  389137561907  7135819268    2240560980    61688128      40436009      30484683      24360519      20286918      17375727      15208675      13520009      12162477      11052363      10132333      9358489       8690144       8111169       7607279       7155565       6759855       6403124       6080985       5794590       5532308       5288730       5068187       4865714       4678369       4497863       4332213       4180751       4036938       3902190       3769663       3637826       3516591       3393008       3268142       3149015       3019261       2883880       2737510       2585745       2420932       2241321       2049902       1844477       1628426       1406138       1181720       959404        755491        569204        408743        278089        176056        104765        57848         27953         12550         4887          1634          428           77            18            1             
0.950 3            2          0.999998        277.569         1275        509         572         681         4665141897    4637110180    4266222       0             968682034367  836398116351  21010559408   3796122894    500253854     173699524     74435119      36362129      18340678      9329147       4841762       2594776       1442756       831126        490268        298337        186457        120665        84095         68829         70517         88420         125607        183463        268105        380666        522252        691412        884453        1095441       1307390       1515299       1708731       1869980       1999605       2091745       2144999       2163911       2161986       2130624       2092243       2037536       1978077       1918107       1843352       1757987       1653662       1529423       1389355       1229365       1067962       910404        758466        610956        477320        355180        250250        165415        101320        57529         29582         13685         5439          1674          493           87            6             
0.950 0            4          0.999971        3527.71         26649       6990        8198        10614       2026084935    1955085128    7967188       0             415648993102  289804862773  11637796957   1608295124    53255081      38007055      29489174      23972405      20130836      17312908      15167987      13503628      12157250      11058152      10140030      9357259       8689388       8110578       7600111       7155922       6761130       6404886       6080665       5790966       5528258       5292439       5065949       4862658       4672310       4502403       4341280       4184451       4041648       3909744       3778902       3652422       3533330       3423607       3314849       3206180       3103058       3000430       2898471       2796442       2689155       2583609       2473845       2359995       2243251       2118503       1988630       1846402       1704506       1552812       1390656       1227319       1061523       892628        728531        571279        426460        298602        191456        110398        52534         19442         4033          
0.950 1            4          0.999999        153.114         9686        334         579         1357        4675511090    4650707385    4423171       0             212741253793  194525715131  3008766846    3909072858    375419280     160610970     79922061      41706288      22496458      12501016      7085407       4085637       2389017       1415630       858805        542156        370390        286312        256431        268893        319674        416702        571729        803341        1118981       1521054       1999350       2515213       3038792       3511463       3888290       4133449       4227482       4168326       3976603       3675288       3295877       2865318       2422935       1987435       1582955       1222456       917348        666791        470028        321891        215402        140271        89649         56018         34299         20999         12307         7408          4127          2192          1109          531           250           99            29            15            2             2             1             0             0             
0.950 2            4          0.999977        2859.49         28847       7890        9318        11950       3011024823    2957515045    2711992       0             631208844346  502084071895  5189626104    2608818749    58675213      38379270      29495550      23910007      20062967      17272913      15149075      13486941      12147076      11048185      10138607      9351780       8688894       8107029       7600584       7154063       6756520       6394763       6079069       5788175       5521623       5276505       5051888       4847160       4651545       4471501       4296864       4134304       3977628       3826824       3675660       3527471       3373725       3222844       3064915       2907828       2734832       2558834       2366699       2169199       1960607       1746668       1527847       1308819       1094391       890707        702722        536037        391169        273409        181923        113888        66112         36244         17975         8090          3320          1144          369           88            12            3             0             
0.950 3            4          0.999997        429.016         2010        786         886         1058        4766078715    4739047291    3178805       0             1495542458299 1300266739690 24351051913   3908293107    504138712     169342014     70035577      33746754      17052166      8690672       4498045       2399704       1328514       762091        449571        271339        169740        109981        79971         69320         76507         100375        144207        209467        300721        422043        571322        748698        946022        1156733       1371008       1569479       1748229       1899092       2008511       2086223       2126741       2133077       2120255       2082393       2029469       1969444       1904751       1837001       1767792       1680401       1571734       1438788       1285844       1123699       961215        812420        672250        540648        418149        306867        211624        134277        78304         41822         20418         9005          3199          952           230           28            3             
0.950 0            8          0.99996         4847.35         43185       9902        11742       15446       2521508771    2458713668    4205388       0             578649314721  433246870841  7668356598    2119682874    51029360      36412319      28620092      23509333      19859340      17164770      15087297      13450520      12122381      11029951      10120321      9350582       8677024       8104653       7596383       7147863       6752769       6401034       6075705       5786292       5520656       5284346       5047593       4847357       4661350       4479468       4304786       4150909       3999197       3853393       3714385       3581146       3445288       3318864       3193197       3065824       2939409       2809724       2679478       2541516       2403248       2262157       2108846       1953872       1794538       1633399       1465486       1294932       1124906       962033        800242        651308        511535        386723        281439        193232        123724        72931         39053         17676         6659          1827          256           
0.950 1            8          0.999998        262.948         14583       573         992         2354        4967798739    4944311794    2996748       0             363933442231  334788264720  3412295406    4257208338    366005283     145580512     69493854      34978356      18301663      9888843       5469441       3080544       1759605       1022745       612147        386121        269609        218504        211652        239533        308589        427895        611467        875637        1228569       1664695       2162340       2686551       3187712       3607524       3899914       4046221       4041863       3885582       3627834       3278401       2881890       2464936       2044450       1651466       1293669       980799        716995        509811        352738        237313        154063        97073         60666         36372         21406         12224         7056          4002          2184          1121          580           229           106           32            9             4             1             0             0             0             0             
0.950 2            8          0.999969        3867.29         46124       10942       13158       17326       3379046394    3331927461    1471999       0             864329125335  717438230708  3572634487    2992935593    56396377      36245095      28267925      23240891      19681208      17045881      14997690      13392143      12078695      11005008      10091443      9333519       8666325       8088679       7591191       7138270       6739947       6393680       6062232       5769991       5502062       5254118       5020592       4803847       4598626       4409014       4221045       4034711       3857672       3676832       3495693       3314702       3126031       2933145       2730499       2519977       2310453       2086770       1862725       1636429       1413107       1193245       990064        797611        624037        472660        347115        244667        164945        105524        63957         36731         19417         9653          4336          1683          643           210           53            9             1             0             0             
0.950 3            8          0.999994        725.36          3439        1330        1501        1800        4851627189    4825461983    2327431       0             2526566533207 2209037859891 30397422551   4000497893    509231498     166410445     66713200      31715292      15961250      8137507       4205848       2232781       1226908       696788        408447        246308        153079        101303        75613         69888         80967         109681        157282        226862        322213        447296        598035        779550        976359        1186034       1391512       1582963       1750802       1887056       1986357       2051444       2081004       2086102       2066302       2029842       1974434       1908076       1836837       1772962       1703527       1619827       1508716       1373843       1216061       1041843       878940        741469        612354        493825        378654        274503        183923        111058        60335         30830         14865         6132          1894          477           86            6             1             
0.950 0            16         0.999939        7510.56         62931       15726       18830       25102       2931562938    2875686582    2006864       0             905673051071  714320208381  5147411107    2545677114    49043780      34641494      27499230      22805607      19403664      16851094      14861191      13295825      12004261      10943221      10055267      9294220       8631892       8063215       7565671       7126136       6731611       6395991       6055537       5765010       5496776       5260306       5029472       4826030       4624322       4439230       4258940       4094476       3930553       3771255       3617319       3469702       3317917       3174598       3021048       2868440       2711095       2552045       2383603       2213100       2040243       1865117       1684471       1502952       1321946       1143484       973943        813264        659835        523619        401863        298160        211620        144806        93062         55976         30931         15772         6971          2664          804           161           16            
0.950 1            16         0.999996        481.408         26799       1048        1812        4342        5168611128    5146146518    1997566       0             664757142839  614121048591  4099555581    4498835702    356857330     134310741     62359337      30666175      15716028      8348917       4545076       2523692       1421961       820818        488050        307071        219616        184214        187550        224540        299900        432267        628422        906016        1272196       1721074       2221315       2747414       3233644       3611439       3839443       3929910       3860986       3665417       3375795       3014816       2620364       2214652       1814598       1448065       1118849       835420        595655        417020        283648        187625        119631        74256         45704         26491         14739         8289          4359          2510          1302          635           297           98            38            6             3             2             0             0             0             0             0             
0.950 2            16         0.999952        5901.24         72601       17054       20846       28030       3691953483    3649919541    749243        0             1332181722742 1140304778545 2619474266    3320865300    54784444      34332711      26985881      22454386      19171563      16690154      14769183      13212280      11943382      10902660      10025573      9269145       8619896       8050315       7555267       7111727       6711199       6378078       6037494       5731084       5462665       5212964       4970860       4740106       4524600       4308290       4099018       3896416       3681141       3473145       3258546       3039409       2812899       2584000       2340462       2101859       1863264       1624161       1393577       1169899       964342        772585        603560        459458        338119        239400        163166        105923        65902         39104         21869         11380         5610          2545          1000          361           114           33            9             0             0             0             0             
0.950 3            16         0.999989        1301.25         6387        2388        2702        3252        4914993928    4889478806    1731620       0             4530938861208 3977383978979 40956753912   4066669220    514797867     164568892     64456015      30219937      15152500      7711568       3964883       2095981       1145873       644791        376093        226187        140316        93468         71453         69928         83507         115486        165147        237068        334364        460051        611395        791645        989314        1190549       1386090       1572283       1728054       1855689       1952348       2009410       2038953       2041232       2014194       1982961       1932076       1863875       1785519       1730277       1667050       1581886       1469158       1329818       1169727       994204        823651        695411        577420        460737        349967        250399        164430        95515         47186         23624         11337         4441          1212          249           44            2             1             
0.950 0            32         0.999895        12936.5         118266      27566       33214       44702       3215652401    3164331382    1020961       0             1569439149147 1276846942750 4186293253    2843793372    47271902      32948241      26330922      21964796      18799387      16406600      14531158      13031345      11807237      10786726      9917300       9180909       8551208       7992099       7504681       7071266       6686919       6382268       6022296       5735857       5469278       5247713       4996268       4800183       4599921       4408449       4210638       4046717       3866968       3697247       3527358       3364415       3191663       3029494       2853403       2678502       2496610       2310495       2118300       1929789       1735176       1544261       1352201       1165267       985052        817319        663853        524772        404397        301707        216134        149713        99018         61491         35874         19390         9851          4513          1702          616           167           26            1             
0.950 1            32         0.999993        916.088         57440       1993        3448        8310        5292229395    5270447740    1382263       0             1263544381083 1170484343046 5352104183    4648142191    350087343     127331960     58121598      28155899      14287340      7507887       4047968       2232558       1249800       716677        422723        269563        194310        167139        174353        213319        294996        432826        629921        908894        1283092       1742432       2228863       2759870       3241409       3595291       3761311       3840546       3742239       3524695       3223473       2857990       2462872       2073153       1672913       1328792       1017348       747725        522402        364382        244850        159412        100625        61793         36738         20930         11417         6286          3512          2018          963           400           229           100           33            18            5             2             1             0             0             0             0             
0.950 2            32         0.999918        10010.3         128743      29342       36254       49470       3910297032    3871505334    414679        0             2274729957745 1982970612221 2362672815    3551153165    53664858      32854773      25892708      21682175      18632359      16297531      14463928      12982181      11780006      10769162      9925249       9184383       8555255       7999242       7506993       7067293       6679342       6359085       6004024       5701320       5423625       5178954       4912780       4682952       4447297       4220527       3985104       3756478       3524057       3285506       3044004       2795919       2544179       2287525       2032371       1781238       1537384       1295908       1073582       873592        690865        533004        398223        288730        202864        136090        87944         54299         31886         17826         9326          4603          2059          845           315           98            32            8             1             0             0             0             0             
