#Load Traffic-Mode Burst-Size Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.950 0            1          0.999979        2657.73         15783       4990        5746        7218        1121928420    1023504959    21095082      0             305135917028  176053556638  23043339419   679083460     57954128      40057595      30318686      24317246      20272260      17375362      15207785      13514961      12162153      11056389      10140675      9359452       8692429       8113404       7606638       7155583       6757400       6400786       6078090       5786736       5532821       5289804       5068168       4864452       4680916       4506287       4346572       4195595       4057802       3927087       3801943       3687441       3576187       3474462       3378666       3287003       3201908       3117748       3038025       2961496       2892600       2820037       2753520       2690259       2623630       2557232       2493262       2430812       2361630       2293110       2218980       2140119       2055553       1963036       1858250       1736138       1590591       1425097       1226845       998387        740295        461078        192358        
0.950 1            1          0.999999        73.1077         3383        159         279         629         3914559832    3883794740    9508284       0             102019047579  90910829206   3119010355    3036461333    380139167     185463493     101908546     58345825      34276310      20621119      12600595      7782326       4866887       3065902       1960717       1277533       859941        614112        480466        421872        412921        443081        509276        623433        791589        1032294       1357617       1757962       2236089       2756893       3288955       3781123       4183623       4472041       4603530       4575232       4391340       4078685       3657814       3182443       2679908       2192342       1736526       1337130       1000123       728070        518048        361434        248340        167605        112224        73796         48516         30971         18913         11398         6429          3366          1566          672           254           81            29            4             1             1             0             
0.950 2            1          0.999983        2147.29         16882       5678        6490        7966        2364762353    2284800214    8758372       0             463410907721  323025231696  11733468218   1935358392    64960606      42055225      31143432      24624709      20392140      17420868      15225565      13526496      12170815      11061662      10139087      9360254       8690655       8109286       7604667       7155329       6757582       6399103       6085261       5793295       5525310       5285130       5073469       4870148       4676052       4506820       4344503       4197319       4051605       3919456       3795097       3682291       3568021       3459289       3359970       3254171       3153524       3050991       2942880       2828893       2710615       2575667       2427086       2261919       2077658       1870889       1650659       1417643       1176042       940292        719219        520297        353576        225189        131858        70313         33435         13857         4980          1438          306           39            8             
0.950 3            1          0.999998        202.545         920         372         417         494         4563345437    4533710711    5450450       0             707632044365  605637497144  19245588936   3682385938    496719352     178261147     79068654      38994460      19644140      9973169       5180386       2789869       1557295       902618        537769        328720        206012        131427        89695         68486         64505         76474         105323        155540        229106        330428        461193        619366        803782        1007750       1221541       1433264       1634963       1810612       1958042       2069315       2145414       2182911       2194747       2181950       2150573       2108473       2061441       2004730       1937647       1856638       1757628       1639518       1502242       1347521       1182533       1016139       851592        691223        541314        408695        292789        198261        126014        74199         39855         19123         8035          2815          856           203           17            
0.950 0            2          0.999976        2974.4          20085       5706        6622        8422        1498972558    1405179745    16846389      0             345270233366  211590095509  19538728463   1066469744    55648310      39253416      30039651      24211386      20235488      17357422      15202566      13518792      12158809      11062128      10137837      9361569       8691003       8106471       7596097       7154012       6759430       6394873       6078342       5789500       5531716       5288638       5063943       4871236       4678504       4506357       4343739       4194901       4059098       3923912       3798370       3682671       3573565       3470664       3368997       3276343       3181999       3097986       3010862       2928701       2847291       2765561       2684580       2607166       2520330       2440133       2353914       2265229       2166057       2063858       1952584       1834317       1704839       1561069       1401324       1230760       1047448       854636        657189        463468        286691        141563        43503         
0.950 1            2          0.999999        99.1992         4845        216         376         867         4300021625    4271648294    7046190       0             138277686678  124799541494  3055796026    3473294155    380169882     175271860     91827999      50195848      28242525      16313077      9593429       5724738       3456102       2119918       1326274       857471        577632        424099        350421        330896        354733        417760        528839        703732        952427        1289020       1702946       2188006       2715737       3236753       3706698       4079806       4330271       4419101       4363418       4166792       3848144       3441548       2986847       2513264       2052299       1628473       1253985       936674        680103        480343        331814        223736        148708        98021         63221         40555         25363         15933         9378          5401          2870          1471          698           258           96            41            14            2             0             0             0             
0.950 2            2          0.99998         2400.98         21208       6466        7494        9374        2633358827    2558178620    6913547       0             523204607392  380221110799  9839528244    2215637185    61723802      40456588      30475751      24368781      20275970      17372432      15200327      13513495      12162072      11058968      10135118      9360942       8687972       8115027       7600212       7158000       6759120       6402931       6078895       5792372       5529876       5289487       5065727       4862271       4675140       4497779       4338779       4184462       4038138       3899086       3774673       3645162       3519501       3399842       3279456       3157204       3033787       2898746       2761636       2612307       2452091       2275005       2088205       1886299       1670656       1445365       1220426       999658        788425        596526        429913        293995        187695        111835        62128         30432         13637         5242          1712          454           92            16            1             
0.950 3            2          0.999998        276.957         1270        508         571         679         4664088454    4635442053    4375623       0             966616498722  833344574311  21219846368   3796107539    499416211     173530278     74372456      36296213      18332417      9329487       4840660       2599244       1443905       835038        498182        304160        188793        123160        85522         69074         71047         89253         125870        185690        270514        382894        526690        696205        890211        1097669       1314092       1522807       1712038       1877542       2002533       2093258       2147290       2167270       2160595       2132241       2090107       2037461       1978746       1916170       1843462       1759555       1657549       1532025       1387482       1234505       1070033       911002        759955        611685        478192        354729        250849        166006        102358        57494         29475         13638         5568          1836          435           84            5             
0.950 0            4          0.999971        3623.97         25509       7158        8390        10846       1979731076    1893071699    11582482      0             426471097645  282734722753  14984290745   1561260878    53110609      37948780      29467310      23966346      20123416      17305724      15173605      13501251      12160858      11053371      10138025      9355905       8684517       8107400       7606589       7156859       6757359       6400858       6083815       5794137       5528560       5289433       5064146       4864904       4675156       4501177       4334934       4189299       4041033       3905508       3777144       3654062       3540443       3426995       3319841       3213396       3112415       3011598       2910318       2811128       2708347       2604842       2498406       2390634       2274172       2158922       2028735       1899329       1757583       1608298       1454885       1289382       1124406       954345        786065        623295        471326        333845        217812        126536        62419         23303         5087          
0.950 1            4          0.999999        153.707         8161        335         581         1362        4671764468    4645176224    4977640       0             213467944988  194378901360  3246915586    3905645591    374961688     160488319     79873884      41691825      22511962      12518817      7108208       4106083       2406143       1435173       883851        579797        392921        299424        266810        277473        327454        425662        579567        812264        1130942       1533656       2011273       2528723       3046479       3515831       3886633       4134048       4224739       4165286       3971871       3665739       3289905       2864135       2419240       1987359       1585481       1224247       917983        670038        473698        325863        217376        142567        91945         57808         35845         22031         13477         7956          4585          2436          1338          621           249           111           25            9             4             0             0             0             0             
0.950 2            4          0.999976        2904.38         28380       8010        9454        12118       2980857208    2911900061    4801106       0             640690580166  488910804029  7682947866    2578067469    58611600      38366706      29469937      23888499      20055350      17259405      15143462      13472814      12141688      11049632      10132618      9357408       8687545       8107130       7604839       7155856       6758371       6402083       6078410       5787527       5520067       5279148       5059327       4845388       4651549       4475458       4300242       4144305       3984190       3833391       3688702       3538930       3394874       3242375       3093228       2933882       2768131       2591332       2409872       2210573       2009444       1796012       1578772       1357895       1139589       933343        737996        566999        416799        292501        195066        122839        72588         39582         20072         8880          3698          1337          364           104           12            3             0             
0.950 3            4          0.999996        427.625         2030        784         883         1055        4765104543    4737449256    3272992       0             1490784490391 1294151304337 24653328768   3908313754    503304731     169129252     69968571      33740716      17049350      8698390       4508864       2410674       1335444       767231        454355        280476        172130        112012        80780         70364         77104         101348        145268        210791        304405        427510        576014        754315        952212        1161451       1375286       1576688       1754613       1899799       2011376       2088570       2129597       2131559       2115254       2078491       2029623       1970594       1904968       1840505       1768114       1681259       1571695       1439975       1288734       1123307       962162        812144        671490        543864        419373        308183        211748        133975        78432         42064         20351         8921          3196          913           184           23            1             
0.950 0            8          0.99996         4928.63         40125       10038       11894       15630       2476328526    2397855098    6842874       0             588009822919  420631507727  10662496266   2073821185    50855462      36351114      28591428      23491801      19855241      17157739      15082146      13445814      12115025      11030961      10118073      9352882       8684899       8100145       7596481       7152028       6751462       6400073       6074471       5783836       5520647       5278854       5053131       4848035       4659768       4477835       4308492       4149624       3999939       3859161       3720992       3587268       3459421       3331973       3208797       3082693       2960021       2834662       2708062       2576933       2438204       2299666       2157331       2004809       1848825       1691371       1522308       1355688       1185748       1019744       856523        701921        555079        424547        311987        214749        140216        83957         45477         21050         8123          2286          343           
0.950 1            8          0.999998        264.349         15633       576         997         2366        4962128682    4936857248    3402750       0             365580017778  334826373413  3719875483    4252166889    365294246     145384474     69438362      34968763      18302259      9894370       5476912       3093651       1768228       1035849       632483        426285        287298        228802        218414        246606        313915        433077        618114        886120        1247810       1686445       2181377       2702307       3202153       3617881       3903657       4048881       4039764       3888760       3625379       3278501       2884888       2469227       2053622       1656663       1299735       986272        722976        513804        355807        239399        156291        100310        62048         37633         22471         13174         7592          4274          2279          1209          576           257           98            30            12            3             0             0             0             0             0             
0.950 2            8          0.999968        3904.89         41897       11046       13278       17470       3349223736    3286708725    2965198       0             872535051378  696698474125  5843250377    2962590865    56254787      36193834      28228781      23226981      19675691      17030254      14992216      13379496      12085166      11000608      10101209      9349736       8670663       8091615       7582540       7139501       6744695       6390683       6060398       5772043       5502771       5254575       5022740       4809024       4606174       4416457       4227673       4045943       3866772       3693536       3521413       3336474       3158204       2966845       2771744       2566445       2355327       2135490       1913410       1686831       1460745       1242284       1031671       836411        657933        502450        370525        261259        176630        114263        69890         40101         21477         10543         4824          2027          774           237           65            15            2             0             0             
0.950 3            8          0.999994        723.108         3665        1326        1496        1794        4851003304    4824225931    2385735       0             2518897553185 2199130437552 30652890334   4000939996    508355320     166118703     66663154      31694302      15982097      8150117       4220381       2249960       1239886       704398        416975        258568        157104        103687        76639         70291         81794         110706        158579        229853        327796        451121        604736        784903        983843        1192314       1394906       1588858       1751506       1888656       1990222       2055305       2083710       2091008       2065950       2028752       1974353       1908539       1835667       1774648       1703006       1617181       1505763       1372053       1213711       1043410       880418        740549        613751        492535        378245        274189        184041        111327        59628         30914         14654         6169          1907          466           76            8             0             
0.950 0            16         0.999938        7577.38         70118       15846       18974       25294       2892129140    2820665445    3741003       0             913742717041  691337924422  7886464439    2505681462    48903397      34546533      27456042      22769737      19380511      16824731      14843579      13281847      11995113      10931231      10041455      9344976       8636542       8063437       7562781       7127400       6732855       6395703       6056170       5760920       5508652       5260648       5032522       4821773       4630355       4445549       4263054       4102371       3935245       3781633       3630915       3485148       3337339       3193773       3040618       2896064       2742496       2585856       2423580       2259617       2090282       1912863       1737547       1559751       1376677       1199212       1026480       860012        704677        562473        434007        325039        233767        160065        103694        63006         35297         18098         8294          3089          954           209           17            
0.950 1            16         0.999996        482.615         25089       1051        1818        4350        5164800670    5140615630    2297335       0             665958918938  612613805798  4507873634    4495250760    356495484     134188946     62346953      30651851      15749232      8371279       4552598       2533114       1431060       823085        497832        345734        232078        191735        192773        228935        303544        436644        633448        913743        1293833       1748702       2238804       2763125       3241647       3620349       3839536       3926989       3855118       3663039       3371364       3012598       2618660       2215190       1815299       1449637       1119738       837240        597454        419689        285899        190591        121796        75848         46389         27093         15257         8719          4921          2713          1330          739           340           121           51            20            4             0             0             0             0             0             0             
0.950 2            16         0.999951        5925.32         73281       17118       20910       28094       3663780253    3606433858    1758123       0             1337816061791 1103966401861 4832942075    3292244221    54638560      34267626      26937342      22416963      19140576      16673148      14740214      13194832      11934996      10894522      10015745      9345778       8619210       8048385       7549965       7112961       6713049       6369169       6031184       5742449       5477172       5220128       4975073       4749191       4538532       4325328       4119556       3916803       3704782       3499050       3289869       3074206       2850462       2625259       2389273       2152212       1914861       1673241       1439775       1214736       1002156       809050        635954        486313        357853        256024        174694        115302        72401         42543         23953         12877         6221          2737          1155          430           129           40            14            2             1             0             0             
0.950 3            16         0.99999         1298.33         6163        2384        2694        3242        4914635690    4888544755    1758818       0             4520881824347 3963307552378 40963025627   4066855477    514119956     164548773     64470533      30237216      15179015      7726987       3989173       2104670       1146655       648291        380601        238055        143285        94435         72685         69143         82947         114486        164193        238080        338439        464132        616371        795805        992865        1195858       1391671       1578661       1734340       1862286       1953927       2012525       2036225       2040135       2013040       1982084       1928463       1860099       1779309       1725414       1664377       1580317       1469098       1328250       1166012       992128        824199        696908        575760        460676        351462        251639        164660        95527         47599         24029         11208         4142          1111          246           35            2             0             
0.950 0            32         0.999894        12960.7         117233      27582       33214       44670       3183501876    3116747862    2188149       0             1572950728624 1231233751207 7119450879    2811232726    47105894      32866263      26261541      21904017      18764191      16368398      14505570      13012480      11782775      10775028      9915356       9352192       8548989       7981444       7503560       7069825       6679647       6381297       6017900       5734376       5498477       5250797       4995751       4797878       4604900       4409672       4219499       4055917       3868678       3707392       3544775       3383386       3214366       3055367       2881893       2710982       2534975       2351404       2162055       1974890       1781489       1587545       1394434       1206344       1030280       856455        698406        557370        430755        322693        233260        161504        107239        67792         39541         21958         10663         4919          1928          566           174           33            5             
0.950 1            32         0.999992        916.605         54151       1993        3448        8318        5290191570    5266753196    1598844       0             1264145196698 1166226333094 5902949058    4646153194    350001539     127222381     58107770      28167113      14284521      7524321       4056056       2233391       1249272       715563        428718        304509        201288        170472        177921        215757        296160        434557        630916        918147        1312120       1771297       2240600       2763597       3244820       3596264       3757134       3836033       3732115       3520395       3219086       2860592       2464063       2073179       1671449       1326107       1018121       747973        521317        363315        247204        161607        102254        62811         37119         21537         11917         6635          3614          1938          915           477           250           99            28            16            5             1             0             0             0             0             0             
0.950 2            32         0.999918        10022.9         137569      29358       36286       49502       3885358396    3831365161    1124831       0             2278002788701 1917423825647 4907762512    3525902959    53512151      32743403      25808662      21637511      18593898      16273864      14438537      12963669      11758038      10751197      9910778       9337204       8555363       7994408       7499675       7067202       6670806       6357370       5998348       5700536       5450687       5180192       4920824       4698326       4465138       4240658       4004671       3782611       3549608       3316925       3078158       2839000       2585169       2332134       2079443       1826001       1581120       1339128       1116021       907542        720865        557589        419308        305609        215286        144945        93951         58815         34653         19500         10106         4943          2351          967           385           138           39            10            1             0             0             0             0             
