#Load Traffic-Mode Burst-Size Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.950 0            1          0.999981        2414.08         15289       4674        5450        6942        1296320200    1200072485    4399265       0             277988527746  164256820536  5180643190    856511136     58033710      40088275      30321605      24313800      20274592      17380261      15207868      13517219      12162597      11054728      10136277      9358981       8688614       8110445       7601319       7159752       6762773       6404472       6081782       5796859       5529647       5289597       5070673       4868903       4682069       4504613       4343176       4194021       4054280       3923257       3798869       3689504       3578187       3472836       3375948       3286704       3199794       3115589       3038932       2961128       2884795       2814002       2737712       2664384       2586782       2509711       2427618       2347747       2258900       2171259       2077176       1977193       1869046       1754100       1627560       1486429       1330196       1154592       963937        755337        535552        316684        124696        
0.950 1            1          0.999999        70.9416         3330        155         270         611         3998455974    3969432414    1039715       0             99302241721   88849679349   377805014     3111185640    388468103     188288249     103121483     58761182      34307314      20486292      12411194      7601061       4697745       2925836       1847629       1189530       794411        570018        450343        395195        384783        409473        471399        579650        750787        1000335       1337802       1764164       2258930       2797635       3326996       3816518       4201275       4450277       4550541       4478461       4259492       3907317       3463119       2974487       2468616       1979706       1544720       1164144       849841        602831        415461        277698        181759        115104        71742         43163         25699         14658         8088          4271          2085          1009          459           166           57            26            3             2             0             0             0             
0.950 2            1          0.999982        2168.97         16060       5686        6470        7890        2429587067    2350812891    2063677       0             468873599566  329578781828  3545764553    2002189277    64476532      41986489      31136717      24621407      20386781      17418538      15224311      13520645      12168895      11057544      10130175      9359734       8687269       8108489       7599704       7151549       6757812       6404013       6082446       5792864       5525628       5293653       5068953       4864656       4677243       4503537       4344820       4194688       4052497       3919311       3796935       3674032       3560383       3447129       3339051       3232582       3122690       3013334       2898657       2777067       2641231       2497889       2342803       2167867       1974596       1765983       1542069       1310080       1079849       855361        646561        465107        313364        196414        114425        60063         28359         11517         4046          1178          236           29            3             
0.950 3            1          0.999998        226.467         1005        419         467         548         4569967969    4541267454    733170        0             787384064105  675394896108  2892011678    3650426818    527227433     185221248     80854519      39908973      20121514      10120503      5154657       2706607       1470270       829801        481970        288235        176236        111441        74914         55086         50318         57892         79696         118172        175890        257555        363373        498232        659825        844090        1047524       1254566       1463110       1661839       1836786       1985903       2103245       2186289       2237009       2258936       2254998       2224870       2175614       2109700       2024207       1918204       1793574       1646692       1484300       1308969       1122271       938611        758935        590268        440339        312929        210189        132533        77418         41128         19612         8111          2971          836           197           17            1             
0.950 0            2          0.999977        2816.84         19644       5546        6498        8350        1712361602    1621890951    3438310       0             327273943891  207382957883  4469626666    1283526905    55949358      39342550      30086072      24237588      20243961      17376102      15205865      13521384      12156804      11052521      10140541      9350940       8690645       8110023       7607182       7153595       6759120       6401679       6083866       5793327       5529160       5287744       5071206       4864206       4681576       4503725       4346200       4192542       4052875       3924393       3795512       3676340       3568489       3460503       3356858       3253467       3159211       3059705       2966671       2867019       2770898       2679640       2583201       2489011       2391480       2289868       2185002       2077745       1964209       1845025       1717448       1586008       1441204       1292652       1134667       972674        802774        634422        471171        320915        189650        88830         25678         
0.950 1            2          0.999999        96.9369         4776        211         368         850         4386453631    4359799890    825163        0             135304058530  122732304827  395916774     3548241018    390181862     178538588     93183208      50672810      28333489      16245285      9471716       5601072       3342151       2021324       1242857       787125        525929        384101        315955        297449        315068        376549        485804        663304        919562        1262667       1692481       2182557       2711854       3222867       3676755       4035524       4254711       4322163       4233638       4002803       3664710       3240952       2772582       2295735       1843030       1433137       1079644       784365        553752        378687        251427        162439        101293        62364         37247         21844         12292         6763          3657          1912          903           402           163           62            18            1             2             1             1             0             0             
0.950 2            2          0.99998         2431.92         21158       6514        7522        9366        2718522301    2644928744    1576655       0             530437157202  389704617195  2872544890    2302912721    61560062      40442280      30498708      24371995      20293584      17381289      15210854      13517507      12168416      11062031      10135609      9358281       8684508       8111341       7599537       7153888       6761057       6400666       6080925       5784064       5532362       5285838       5071177       4863534       4670798       4492493       4328168       4174384       4025463       3880864       3748275       3615655       3482587       3353301       3228459       3094356       2958941       2815485       2663803       2505338       2335075       2151667       1961646       1753767       1540985       1319364       1102588       893776        698482        520471        370694        250504        157723        93329         49894         24769         10880         4287          1365          361           61            6             3             
0.950 3            2          0.999997        303.063         1393        559         625         737         4677949504    4650358366    616698        0             1053675322591 911826542266  3231256623    3776284300    526078998     179797760     75945649      37012416      18701274      9462625       4835349       2540370       1383082       779427        452926        270493        165987        105415        72865         58762         58824         73842         104733        154166        224799        320248        441060        591160        765625        958357        1165165       1373244       1574107       1760322       1917444       2043149       2125423       2182766       2203113       2197644       2167722       2120344       2059987       1978810       1885192       1775737       1650271       1505652       1351223       1182081       1008835       836964        669218        518495        381962        268210        177595        109469        62729         32538         15027         5945          1987          505           99            16            2             
0.950 0            4          0.999971        3572.8          26678       7182        8470        11022       2184109463    2100987305    2353316       0             419756274868  287025276153  3569800778    1769266246    53510100      38120158      29553729      23999832      20142458      17324473      15176543      13505120      12157350      11055295      10137177      9359118       8689512       8110595       7607438       7154618       6758207       6400479       6081828       5791200       5525363       5287241       5065218       4861504       4667794       4496997       4329721       4175310       4024440       3883163       3750382       3617757       3496015       3370062       3256211       3139015       3023861       2912142       2795250       2683546       2567047       2447351       2327381       2206747       2078642       1946036       1810945       1666807       1521171       1372709       1217507       1063827       906242        756332        607680        469995        346627        239832        150850        85473         40080         14760         2954          
0.950 1            4          0.999999        151.234         8834        330         572         1343        4747656743    4722684096    641347        0             210114358595  192295698113  465265192     3970347402    384755136     163404179     81075920      42130930      22624877      12506960      7055191       4040107       2348252       1384547       833643        523204        352528        266724        234549        243392        291388        387559        546673        779163        1098424       1501505       1970966       2472881       2969963       3421334       3779467       4007926       4095635       4037195       3842373       3533736       3144227       2706532       2254241       1816422       1421523       1072181       783149        554957        379822        252342        161202        101874        60993         36334         21465         12004         6629          3664          1816          947           410           176           80            21            2             0             1             0             0             0             0             
0.950 2            4          0.999976        2944.07         28991       8098        9534        12182       3071304614    3004019247    1063319       0             649509569576  500924128850  2161780403    2670419267    58743349      38465398      29538868      23943763      20076945      17273162      15155253      13484612      12147148      11052126      10135522      9351820       8689610       8109195       7600647       7151320       6757433       6392533       6078065       5778843       5518690       5271903       5045219       4833353       4637905       4450437       4275639       4106093       3943744       3783115       3629188       3478436       3320885       3165232       2997309       2826689       2652480       2470281       2279493       2081225       1872456       1657033       1445797       1230216       1023193       830962        649614        492951        358104        248425        163534        101969        59184         32065         15774         6908          2857          1017          294           55            11            0             0             
0.950 3            4          0.999996        461.49          1960        850         952         1129        4783894165    4757375423    483198        0             1604109260858 1399389895153 3825589705    3898374885    525996369     174705292     71298019      34263764      17342694      8820452       4525523       2380857       1293500       728125        423478        252159        155466        100329        71967         63364         69108         90084         129227        187016        268038        373090        505523        663445        846099        1042708       1252285       1459499       1650100       1822594       1958050       2062493       2128054       2155027       2158899       2133470       2082464       2025896       1948295       1860072       1766536       1656174       1525827       1383952       1234234       1070129       908256        745537        593762        452134        330193        229017        148977        90156         50083         24793         10872         4079          1280          319           67            9             0             
0.950 0            8          0.999959        4991.92         39941       10270       12198       16086       2634361624    2558762027    1408549       0             593503347229  433777042525  2674383729    2234784416    51255044      36511422      28680348      23541567      19882133      17178699      15099278      13451895      12130101      11031633      10120066      9341668       8682338       8103477       7599557       7152771       6752041       6396651       6075052       5783257       5513592       5265279       5041221       4833812       4639086       4454977       4279189       4116330       3957499       3806557       3663443       3521984       3381850       3243679       3108278       2975036       2836453       2702282       2563600       2422620       2276634       2128986       1974550       1822470       1662764       1501478       1338288       1176988       1017352       862376        715807        578001        451423        338885        244716        166773        106394        62367         32949         14884         5605          1550          203           
0.950 1            8          0.999998        261.067         17593       569         985         2342        5029733028    5006045800    487260        0             361232927542  332568398191  595770941     4309560033    374252013     147938388     70472381      35357076      18440596      9930392       5475419       3073636       1748764       1014512       605196        377315        259785        206691        196447        222125        288567        407306        593923        860004        1210843       1635013       2111641       2602894       3065517       3453857       3738802       3887768       3903078       3772146       3522760       3180660       2777281       2346853       1915965       1517575       1159696       859573        613803        425725        285121        184405        115834        70536         41827         23904         13690         7443          4181          2099          1094          532           207           92            26            7             7             4             0             0             0             0             0             
0.950 2            8          0.999968        3963.73         42365       11198       13438       17646       3427541075    3366467793    641674        0             884917792848  712367466465  1589883239    3042370669    56545088      36362308      28341578      23288380      19713989      17060941      15018345      13400866      12086152      11006169      10101688      9327307       8668480       8087115       7584622       7137025       6735183       6378058       6054707       5758779       5485919       5235653       5000445       4779117       4573197       4371194       4178771       3992171       3807947       3629212       3439608       3252475       3061768       2864713       2657396       2445838       2233884       2015161       1790521       1567531       1349574       1137648       936086        753050        587326        443931        323654        226958        152296        97278         58336         32781         17466         8458          3845          1605          549           188           66            9             1             0             0             
0.950 3            8          0.999994        777.623         3458        1430        1606        1913        4869637058    4843985759    354871        0             2702234680911 2371604441339 4717017240    3994439128    528079451     171046058     67860425      32183531      16253330      8269390       4256515       2228083       1204272       674086        388623        230686        142125        94174         69940         65316         75170         101300        146253        210587        297421        407546        545723        709102        891397        1088936       1296239       1491027       1676783       1831227       1958763       2040731       2093112       2110562       2102942       2066751       2016969       1949089       1871836       1784242       1682097       1568803       1439395       1301230       1151658       997243        839200        683166        538622        407835        295139        201646        129588        77792         41811         20286         8474          3089          894           208           35            6             0             
0.950 0            16         0.999937        7760.13         70509       16310       19534       26078       3003430386    2934118268    779769        0             931980783059  714901314872  2033039292    2619021507    49240314      34712827      27553810      22840288      19431304      16869748      14884090      13301834      12010633      10955050      10053436      9289957       8640171       8065166       7564591       7123215       6726109       6369935       6052402       5756389       5483457       5236206       5010346       4794468       4592319       4404522       4226463       4052880       3882901       3725072       3564607       3409747       3254796       3099444       2942518       2784986       2623799       2457898       2293214       2123971       1947514       1774122       1594396       1422880       1244967       1076219       913063        759780        615272        486827        373580        275962        196587        133480        85440         51588         28445         14263         6327          2394          695           173           22            
0.950 1            16         0.999996        481.001         30297       1048        1812        4342        5217502420    5194712987    360631        0             663536481966  613163853374  798166468     4540149618    363353206     136120572     63127705      31000036      15870997      8410413       4575691       2531564       1425853       817408        484622        305086        212875        176840        176910        211299        286433        417552        615587        896085        1256927       1688559       2161909       2638255       3077566       3431840       3677823       3783334       3755514       3592523       3314788       2962299       2550888       2133707       1720239       1343613       1017144       740289        522984        358146        235368        150693        93150         56199         32314         18737         10292         5511          2842          1392          700           325           122           53            14            8             1             0             0             0             0             0             0             
0.950 2            16         0.999951        6019.07         73118       17374       21214       28462       3727155343    3671027349    370190        0             1357142751812 1126712015705 1262238625    3356630460    54990818      34459405      27061642      22504026      19204360      16712499      14780784      13221727      11965033      10910732      10027508      9271267       8617016       8049210       7547472       7108916       6705450       6350282       6021581       5725790       5442412       5189026       4941431       4713647       4488563       4272614       4054815       3850659       3639652       3420176       3203203       2981402       2754658       2520066       2287666       2045015       1809382       1572942       1344022       1126942       927533        741974        579283        438392        321059        227886        154902        100391        62355         36872         20624         10734         5152          2380          982           397           114           31            11            0             0             0             0             
0.950 3            16         0.99999         1386.44         6593        2550        2870        3432        4932222492    4907206902    255652        0             4817492993326 4245427407271 6057820619    4062444470    531219892     169005035     65545040      30621324      15420486      7829817       4018455       2102048       1134625       635825        363423        213790        133942        89668         69099         66549         79910         108893        156939        223576        314790        428736        568139        730725        912822        1106225       1304627       1497096       1669398       1816658       1930483       2008305       2052481       2061754       2046928       2011542       1955644       1892452       1814130       1726296       1627483       1513777       1387126       1250323       1103411       952163        797723        650263        508119        383193        276303        186804        119305        69148         37231         17584         7220          2462          655           141           21            0             0             
0.950 0            32         0.999892        13304.8         117639      28398       34206       46014       3265454508    3200461064    439263        0             1608238006040 1271003458523 1758309713    2894585888    47408297      33025392      26374598      22005160      18840906      16432921      14550838      13048048      11827105      10795557      9932426       9202410       8555212       8001767       7512300       7081626       6683425       6333095       6017486       5729272       5455959       5206552       4975003       4761838       4556935       4359880       4179282       4000198       3818048       3648224       3477716       3304872       3139961       2964801       2786423       2607786       2427534       2243862       2051813       1863848       1675136       1482995       1297021       1117126       944113        782415        635350        502163        386348        286391        207402        142858        93394         58452         34372         18780         9502          4125          1608          525           149           17            2             
0.950 1            32         0.999993        917.015         55323       1997        3452        8310        5334543946    5312404537    259167        0             1263370179877 1170487878257 1081769858    4684216649    355560070     128703790     58775453      28444025      14432182      7574496       4086529       2248619       1260025       718388        423698        267832        191055        160143        167243        205257        283929        416951        622036        907315        1269267       1702459       2175808       2640521       3066548       3405185       3627187       3705199       3651902       3470963       3182145       2822470       2417264       1999276       1598702       1239991       926039        669393        468801        316519        206050        130180        79608         47056         27305         15301         8376          4479          2250          1103          481           279           108           21            17            4             2             2             0             0             0             0             0             
0.950 2            32         0.999918        10189.8         128985      29838       36862       50174       3936692775    3883818541    219555        0             2312612137651 1955921443385 1170758262    3577926022    53843896      32961425      25949559      21735169      18665663      16319805      14486502      13013516      11799162      10786883      9924380       9185882       8556785       7997776       7503541       7069688       6673354       6310692       5985665       5689237       5404739       5142278       4888871       4646781       4411512       4178354       3950088       3713726       3481815       3240199       2996209       2752870       2497410       2244743       1988633       1740326       1495258       1264034       1049209       847577        668202        515390        384644        278816        194166        131596        84896         52057         30256         16992         8843          4466          1963          780           310           122           33            5             3             1             0             0             0             
