#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.990 0            0.999971        3616.77         16632       5982        6798        8342        583797563     480781436     20938492      0             443359893798  238797553955  34790478223   123999520     61194770      40962912      30720895      24579876      20478433      17555240      15358669      13654030      12290748      11170994      10241663      9453079       8779892       8191622       7674822       7227530       6824676       6468168       6139303       5852928       5584344       5343446       5120041       4916467       4727274       4550017       4389256       4238845       4097772       3962712       3841149       3725583       3616446       3512230       3411262       3319693       3232624       3148229       3068866       2996809       2921021       2858860       2791836       2730158       2670777       2609765       2560360       2508079       2456841       2409039       2362682       2318888       2275700       2235922       2195621       2159056       2120148       2083074       2048100       2013056       1982998       1945359       1917388       
0.990 1            0.999998        187.386         4437        419         734         1382        3219630514    3178518868    2638889       0             260162759148  215097854216  2051601998    2327164022    357903931     179351495     103348268     62587504      39062831      25078266      16357752      10784852      7154673       4776249       3199980       2149973       1451372       983793        674894        476188        352433        282235        259201        277830        343052        465442        662233        944106        1327749       1813117       2398116       3055982       3752908       4432995       5049344       5528856       5829932       5917836       5789835       5446059       4936366       4305845       3610231       2919163       2267432       1689985       1214881       836497        555966        354200        217452        128329        73487         40762         22009         11553         5893          2796          1405          594           241           89            26            7             1             0             0             
0.990 2            0.999955        5446.46         23906       12462       13406       15094       2103699726    2018452279    2286572       0             1263174672267 832304685089  7155622054    1641237998    80308015      47570586      33499514      25779733      21034236      17812410      15481483      13712440      12315525      11179823      10245262      9459543       8777533       8191713       7682196       7226815       6826870       6466285       6145286       5852380       5585759       5341753       5119248       4914460       4727912       4552310       4388114       4239271       4096185       3965513       3836712       3720359       3615491       3509263       3411827       3315340       3229115       3139075       3051527       2969313       2877329       2782265       2679738       2564519       2428190       2269998       2086942       1874673       1638811       1382186       1120187       863607        625543        425024        266418        151253        76933         33924         12992         3868          963           156           14            
0.990 3            0.999992        1031.15         3045        1771        1880        2062        4423541233    4387500382    1607867       0             3936655502585 3194790671495 31784424050   3613433305    451931905     160893101     65949756      32526722      18101751      10529751      6219260       3731715       2287546       1438980       921036        601208        399864        277071        207578        179911        188557        230611        303700        409718        544558        699887        873042        1058408       1237605       1404872       1560032       1685977       1790974       1862657       1900229       1908377       1887801       1842352       1784025       1718991       1656617       1608354       1586848       1591364       1622596       1675386       1730579       1784738       1817840       1819166       1791281       1720863       1617583       1478543       1313201       1130196       934130        736553        546934        377307        239444        134931        66190         26991         8669          1884          212           
0.950 0            0.999981        2389.74         12994       4354        4974        6142        588291163     485276542     26940078      0             272484078912  147857172268  27844025417   128702215     61086259      40946331      30726075      24562915      20475598      17554386      15361563      13653336      12286230      11170731      10241090      9450221       8776993       8185873       7678282       7228065       6827366       6467601       6145133       5851729       5586558       5343051       5124931       4912220       4729132       4551249       4387306       4237502       4095032       3964517       3841532       3726322       3613629       3510849       3413421       3318546       3232611       3148792       3071868       2997176       2927623       2852393       2793350       2729689       2672195       2611975       2559768       2506842       2458284       2411597       2365616       2319852       2276544       2234896       2194883       2154789       2116688       2081367       2047370       2015413       1982982       1940052       1852759       
0.950 1            1               52.0006         1814        114         201         428         3141495607    3100641297    16863909      0             72124038592   60894011316   4087011566    2175370929    378278181     195833410     115658697     71668745      45518703      29617440      19544235      13004686      8722545       5877093       3985515       2715412       1878703       1326715       980089        772975        667424        628517        635364        667910        723104        797134        906623        1062984       1283167       1577861       1954657       2402550       2901623       3410030       3900350       4310133       4615213       4774596       4780462       4618188       4310119       3898694       3405100       2884206       2367561       1887089       1466617       1115537       830794        608005        436498        310809        217191        148162        97309         62066         37233         20956         10962         5327          2231          825           273           66            14            0             0             
0.950 2            0.999984        1923.08         12671       4942        5538        6602        2001936408    1914431255    11823218      0             413120956829  269484467827  15156137727   1552323004    70938885      44346192      32075896      25082731      20674358      17627904      15390472      13669206      12296357      11171202      10239588      9448707       8772485       8194535       7682904       7228790       6823369       6470033       6147232       5848561       5588135       5345526       5121768       4916568       4725295       4548607       4384401       4236069       4096264       3959491       3841297       3718884       3613825       3512224       3412172       3319176       3230968       3149438       3067699       2989101       2906423       2828182       2739905       2646318       2539129       2414447       2263356       2088186       1876284       1638017       1377689       1105488       839507        597485        392867        235315        126349        58980         23285         7602          1924          321           30            
0.950 3            0.999999        138.332         591         254         284         334         4410615046    4378473921    7660283       0             488500658369  410939128991  18393752362   3492039328    499896294     189351856     88992023      44843607      22574899      11417061      5922631       3200418       1796553       1046446       630969        386141        243290        156889        105008        74526         60753         60539         74213         102721        150133        216827        307998        423746        566258        732371        917070        1118196       1327313       1529388       1723250       1895917       2041134       2155802       2241970       2291363       2321266       2317957       2303490       2265628       2215342       2146564       2053482       1938487       1801116       1637628       1459816       1268786       1073185       882528        702676        538300        393312        274196        180844        110011        62211         31560         14260         5514          1576          359           51            
0.900 0            0.999985        1818.09         10458       3500        4008        4970        595142510     492128425     33320965      0             188033262712  102801415967  24068965373   135826064     60917039      40938596      30727046      24571553      20486466      17553065      15355250      13651643      12287273      11166613      10246213      9454453       8776985       8192090       7674713       7228455       6829108       6468422       6143571       5851494       5587133       5337911       5117161       4913460       4720582       4551868       4387860       4237081       4096973       3962874       3839363       3725109       3615953       3509198       3413741       3320823       3232700       3152576       3071552       2998343       2925816       2862773       2793276       2730530       2670956       2614097       2561301       2506443       2458026       2409292       2362554       2318906       2274450       2230524       2194905       2155017       2118377       2082532       2047526       2015966       1982575       1930529       1757766       
0.900 1            1               29.0939         1739        63          113         268         3037779168    2993627189    29390212      0             38990375796   32965544915   3678504151    2062616120    386961555     197132870     115080987     70889136      44873174      29137625      19199127      12782259      8575687       5787838       3934743       2698764       1878438       1343943       1013676       831453        757689        752803        794352        855738        921259        983990        1052551       1144104       1278657       1473554       1750957       2110825       2535645       3011017       3497046       3944625       4317946       4571431       4687615       4640459       4447147       4119666       3700201       3225376       2723874       2248182       1814595       1436427       1118722       861595        657167        494680        368017        265060        185028        123339        77591         46141         25252         12669         5617          2200          710           207           39            8             0             
