#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.990 0            0.999971        3609.65         15538       5966        6786        8326        577950694     475958933     20680577      0             438058946507  235915093203  34282328679   122758028     60589020      40551901      30415421      24332950      20274022      17376444      15209993      13510614      12157083      11064553      10135624      9359381       8684579       8111590       7602452       7155267       6757397       6401604       6082145       5795011       5528529       5284889       5068464       4864841       4679860       4502558       4342896       4194783       4056627       3924009       3799641       3686341       3580085       3475949       3376168       3290940       3202536       3119812       3041725       2965405       2898735       2829915       2763451       2701863       2647388       2589160       2534951       2482573       2429607       2385008       2341473       2297376       2254334       2213880       2171389       2131642       2098321       2061428       2028162       1994520       1960129       1925387       1898865       
0.990 1            0.999998        187.342         4573        419         734         1381        3187553172    3146849301    2612144       0             257527431450  212918249744  2029681483    2304054303    354305293     177554508     102303354     61979422      38658645      24823299      16193775      10664659      7091376       4727150       3168160       2129907       1434324       975778        668633        470236        348736        280915        256334        274369        340726        461759        654458        936489        1314300       1791932       2372301       3022880       3715669       4386980       4996869       5475424       5771700       5861657       5728908       5390352       4887248       4259789       3578968       2891258       2243744       1675066       1202923       829720        549479        350528        214310        126775        73039         40495         21612         11679         5774          2933          1341          546           258           82            19            6             0             0             0             
0.990 2            0.999956        5447.56         24639       12462       13414       15094       2082806638    1998410959    2261111       0             1250803501074 824178309368  7078246955    1624947296    79534177      47093114      33167369      25523073      20816667      17629676      15321454      13571194      12195030      11079539      10142996      9366414       8691372       8115574       7602176       7154933       6754983       6402027       6080339       5793384       5533880       5289219       5072294       4864530       4680988       4508361       4342002       4193379       4055023       3920768       3800931       3682080       3577372       3473586       3378819       3283576       3196246       3109806       3024485       2937914       2847341       2757479       2653322       2539145       2403674       2247548       2066251       1853885       1621768       1365012       1107093       853375        622908        421064        262926        148952        75440         33802         12613         3945          886           146           17            
0.990 3            0.999992        1025.44         2993        1762        1870        2052        4378534772    4342837101    1556478       0             3875627314012 3144889182806 30575464922   3576572906    447421593     159275580     65285959      32171138      17905919      10410106      6150882       3689559       2264413       1422713       911124        594346        396168        272957        204798        177616        186206        227525        299939        403496        535573        693651        864538        1045697       1224936       1395257       1543641       1675828       1775419       1845964       1884999       1894001       1872031       1829993       1769167       1702698       1643633       1592001       1570809       1574678       1604629       1657075       1713447       1765719       1800185       1804056       1776199       1705989       1598571       1466605       1301657       1120298       924059        729152        541419        374042        237087        133010        65116         26274         8577          1942          207           
0.950 0            0.999981        2384.6          12052       4346        4966        6134        582387376     480398651     26604896      0             269168367064  146050217277  27423746958   127397046     60462202      40536598      30414725      24327232      20270069      17377928      15214196      13515807      12160611      11059730      10135132      9355755       8693116       8107662       7600769       7157213       6759529       6403230       6081677       5795375       5531536       5287390       5070215       4865653       4681251       4506651       4346026       4198351       4057523       3928453       3798543       3685640       3576814       3474167       3377668       3286943       3202163       3121412       3039742       2966572       2895794       2829302       2765108       2703094       2643213       2588677       2534735       2482713       2432393       2384166       2335602       2292566       2252322       2211685       2172620       2135392       2097236       2065070       2029161       1993318       1961573       1920711       1832610       
0.950 1            1               51.9659         1724        114         201         427         3109900459    3069437827    16693650      0             71360694618   60243556239   4044970970    2153553078    374508726     193820052     114489392     70917841      45052064      29319998      19333517      12869078      8626351       5814864       3939781       2690604       1858118       1312432       968486        765921        662805        623016        628974        662403        715367        789555        898781        1051578       1268741       1565106       1936902       2379819       2873894       3375435       3857807       4268748       4576702       4733676       4729019       4572957       4266859       3855619       3372769       2853532       2346744       1873255       1454283       1105805       822633        600836        432963        307055        215465        146504        96826         61445         36709         20535         10642         5072          2158          806           268           72            15            1             0             
0.950 2            0.999984        1922.33         12769       4938        5534        6594        1981877557    1895247078    11684022      0             408830608717  266683903161  14968631251   1536740115    70240008      43921515      31748543      24827916      20460706      17459869      15234891      13527512      12163766      11067753      10140025      9354388       8693301       8113998       7605512       7156654       6753605       6406612       6079784       5790981       5526626       5291204       5067197       4865730       4683320       4508580       4348157       4193446       4054512       3922625       3800666       3683255       3576254       3474343       3376602       3286979       3198055       3115880       3034865       2956989       2875826       2801696       2712571       2621973       2514261       2390244       2242827       2065957       1858222       1623838       1361351       1094779       832851        591516        388271        232583        124772        58260         23277         7627          1781          311           24            
0.950 3            0.999999        138.541         605         255         285         335         4365143500    4333328642    7412898       0             484197342138  407268982603  17836755162   3454609668    495693730     187675805     88187947      44436356      22360518      11308275      5865214       3164664       1778092       1032920       620933        382636        241494        155018        102935        73825         59556         59388         72634         99886         146560        213157        300782        416782        555311        721983        905057        1105774       1311001       1515022       1708576       1879195       2024145       2143033       2222925       2273656       2299894       2301747       2285509       2250070       2201224       2126244       2038528       1920244       1780170       1620617       1445370       1254364       1060158       869919        689930        527680        384519        267777        175693        107289        60183         30733         13843         5288          1631          371           52            
0.900 0            0.999985        1813.66         10682       3492        4000        4962        589191513     487205365     32910481      0             185691152112  101510876876  23705747073   134475276     60292198      40532019      30421428      24319844      20275122      17381474      15207687      13517362      12163985      11060971      10138598      9359051       8693567       8108568       7601481       7157028       6758845       6404065       6081455       5792740       5528944       5288208       5069720       4862281       4678091       4503845       4341671       4190921       4054774       3926390       3805553       3683935       3575903       3478787       3379816       3290455       3202218       3116728       3041226       2967025       2897557       2829807       2764156       2704223       2646402       2587576       2533449       2483019       2432671       2385074       2340960       2294697       2253273       2212154       2175597       2134504       2095537       2060879       2027388       1993040       1960217       1910004       1740074       
0.900 1            1               28.9908         1540        63          112         267         3007198421    2963483403    29142050      0             38483305653   32536936376   3638089562    2041756050    383127885     195174017     113922715     70178810      44414948      28839786      19001732      12650976      8487026       5730969       3898408       2670752       1858427       1332823       1004466       824471        749942        748632        789451        850776        913203        977254        1042762       1134494       1266244       1461129       1735108       2086387       2510242       2981548       3457627       3909162       4274721       4523158       4636119       4591909       4398294       4083079       3664840       3188107       2703352       2227180       1794475       1420294       1106363       854099        651623        490152        364298        261983        183346        122483        78076         45744         25121         12551         5564          2201          792           215           50            9             1             
