#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.990 0            0.999975        3107.74         13721       5314        6178        7694        583684314     480665001     4805493       0             382056672331  204761997402  8419146627    123973741     61099776      40961677      30717364      24572492      20473404      17550879      15363069      13655268      12292332      11176053      10242145      9453148       8774487       8192909       7681145       7230717       6829335       6465963       6144167       5852479       5584433       5343556       5119879       4918651       4727923       4550734       4386914       4234875       4096803       3968113       3839005       3724239       3613190       3509703       3415614       3321095       3233681       3150009       3072251       2996245       2928202       2858097       2793062       2731878       2671991       2614751       2561191       2509513       2456400       2407976       2361060       2320371       2274280       2235110       2191280       2156457       2116421       2079980       2048173       2013748       1979720       1941727       1923463       
0.990 1            0.999998        196.474         4754        439         770         1443        3219195692    3177707311    399518        0             272799810125  224844443693  412339921     2334949157    355685130     177383266     101848608     61529776      38302792      24560237      15997985      10535529      6989342       4660545       3119807       2093285       1409261       956514        656066        461703        341507        274484        251723        270400        337624        461036        659266        943037        1332059       1823147       2414050       3087390       3799684       4491511       5124541       5616310       5924994       6016301       5887119       5534594       5017051       4369923       3666113       2957718       2294655       1705208       1221456       839591        553693        351963        213310        124756        71359         38985         20503         10441         5152          2343          1062          436           141           49            3             1             0             0             0             
0.990 2            0.999954        5632.66         24732       12830       13774       15454       2101420997    2016131120    515291        0             1306449710386 859982217626  2216504543    1639394261    79848277      47529655      33501904      25787339      21023602      17809030      15482595      13715109      12319406      11186375      10252018      9455502       8780916       8190757       7684957       7225256       6829661       6465441       6140416       5849627       5587089       5342370       5121103       4912300       4728723       4552841       4387158       4233844       4097840       3962353       3839170       3721051       3613327       3509253       3411477       3315944       3226059       3139559       3055184       2969580       2882251       2782827       2681097       2565422       2428868       2275501       2088263       1880352       1642542       1388003       1127418       868615        630621        427948        268662        153515        77678         34726         13270         3988          950           138           13            
0.990 3            0.999993        934.146         2659        1620        1729        1908        4443288133    4407678026    235552        0             3565658117046 2878635096625 4560453111    3608769616    480560128     166826230     65618318      30725665      16396716      9270874       5347136       3140899       1888804       1165867       735115        474085        309557        208312        148448        118378        113209        130837        170100        233801        320389        433364        563781        714853        876588        1044654       1207284       1357498       1488467       1598266       1672798       1718171       1732897       1720866       1691961       1650445       1610338       1584757       1580636       1601284       1649190       1719573       1800660       1878135       1941088       1971284       1965950       1917952       1830718       1699846       1529056       1325566       1098875       864243        633860        429780        264586        143221        67214         26376         7786          1618          164           
0.950 0            0.999984        2028.58         10485       3824        4454        5574        588182452     485156419     5831390       0             232436182803  124965396431  6225171115    128722051     60939431      40953179      30721229      24573712      20479418      17551814      15360190      13655901      12288419      11171072      10243135      9450492       8775479       8187324       7678795       7228879       6826148       6466206       6138900       5849352       5588622       5343387       5118115       4914620       4727276       4555602       4390570       4238086       4095809       3963619       3841681       3726509       3613045       3508574       3410503       3321131       3232548       3150268       3073532       2996201       2926993       2855555       2792508       2729767       2673693       2614577       2560012       2508267       2457960       2411529       2361479       2316787       2276571       2234009       2194256       2156881       2118727       2083353       2047194       2014364       1981370       1937122       1858654       
0.950 1            1               49.9015         1591        109         191         405         3142694567    3101687942    1842609       0             70252176090   58668167496   506635236     2178681639    377878484     195132392     115228076     71408230      45357832      29517631      19466208      12956290      8678742       5840283       3959186       2700464       1866000       1321259       980205        781760        682382        650321        657409        687913        736598        805455        906252        1052404       1266948       1557423       1930938       2377128       2877627       3389597       3883101       4309893       4621888       4794502       4801958       4646069       4350152       3935723       3442871       2920336       2397250       1917423       1488939       1129272       837053        608988        434176        302512        205594        135883        86434         52468         29928         15991         7577          3509          1340          483           137           35            6             0             0             
0.950 2            0.999984        1930.07         12185       4890        5438        6414        1994766954    1907139604    2905569       0             415676103126  270037845353  4793307823    1546037405    70000171      44271507      32068495      25066799      20671980      17625345      15387681      13665586      12291378      11168918      10242163      9452383       8778872       8190137       7679472       7232755       6828469       6462959       6150154       5850221       5586312       5339265       5120759       4914176       4723600       4545061       4388442       4239155       4096120       3961853       3841921       3723113       3615556       3509611       3412323       3321398       3230997       3147974       3066559       2985865       2909325       2825215       2745339       2649649       2546397       2420989       2274419       2099464       1888063       1656440       1394133       1122253       857117        611846        403979        242554        130288        61508         24672         8014          1987          354           39            
0.950 3            0.999999        161.012         651         299         331         384         4396909186    4365351363    884891        0             564724322205  474361385422  2530847829    3432130567    535894742     197084600     91185120      46220850      23342435      11677746      5918316       3098578       1683729       951868        555179        332036        204545        128920        84417         57268         44265         40557         47128         64523         95659         143157        211293        301037        416875        558763        728950        918504        1125558       1339667       1556793       1766544       1959574       2126789       2267892       2377767       2449229       2488554       2490135       2456744       2395331       2299644       2169677       2010475       1829839       1627395       1409352       1187623       971133        767124        581687        422285        289846        187873        114529        63619         32282         14442         5754          1877          424           98            4             
0.900 0            0.999988        1508.92         8846        2996        3478        4354        595066150     492056029     6780681       0             157261716038  84749934055   4925309083    135943399     60713806      40931207      30726289      24573510      20480934      17550355      15361052      13657947      12286319      11174186      10241565      9449402       8777254       8190864       7682691       7230504       6824116       6465253       6144852       5853574       5582382       5342671       5122300       4917829       4724145       4550602       4390113       4242615       4096500       3962339       3839630       3725322       3614470       3511457       3413616       3322070       3234151       3147617       3070114       2997091       2927556       2856721       2792244       2731147       2668939       2611818       2560289       2505574       2456171       2408991       2361854       2321504       2275848       2235519       2195358       2154601       2117447       2081120       2048600       2015782       1980763       1926085       1766106       
0.900 1            1               22.3981         1261        48          84          203         3015677662    2970350453    2211206       0             32646526962   26617360523   271257460     2043319293    386858683     196165790     114286940     70285360      44429817      28778543      18927240      12577165      8421159       5680075       3860115       2655197       1861705       1354361       1047892       892015        846830        873404        937167        1011391       1076556       1125408       1167993       1224299       1317996       1473259       1713779       2040814       2445445       2899073       3380572       3833035       4219517       4494352       4634976       4616888       4452033       4163272       3767401       3311329       2829714       2361209       1926533       1541492       1218208       947631        725195        545498        401269        283250        191960        123721        74782         41465         21443         9946          4047          1548          457           129           20            6             0             
0.900 2            0.999993        919.955         7893        2602        2992        3684        1885319856    1795559269    5620573       0             180665247500  116027781249  4271233597    1443529095    64119248      42134019      31251097      24762270      20538363      17570805      15356366      13650200      12289200      11170259      10241394      9454813       8780923       8191509       7677356       7223605       6826069       6466594       6142662       5852704       5586177       5346575       5122327       4911249       4730073       4552508       4387948       4237645       4093147       3964935       3840146       3720142       3612665       3512568       3412563       3319126       3231791       3151119       3071427       2993955       2919460       2847212       2773030       2693984       2608917       2510758       2398394       2259284       2091610       1885271       1649789       1385939       1107566       831532        578132        368947        211195        106211        45270         15689         4204          744           81            
0.900 3            1               36.3544         236         73          85          106         4273110898    4243318326    2238045       0             118012252108  101769315918  1178612899    3221580917    568387512     232861979     106304632     49419854      23220066      11194933      5596045       2913860       1582384       892347        523191        313905        193377        120553        76699         50410         34934         28313         27891         36598         56745         92328         149556        235133        359013        527016        745095        1016754       1335397       1698222       2073935       2451043       2796554       3082710       3298263       3406692       3405126       3299244       3102282       2828452       2500252       2148417       1794289       1451129       1139810       864757        638480        453144        309879        203662        127305        75460         42884         22462         11072         4929          2046          656           231           60            13            1             0             
0.800 0            0.999992        1004.18         7150        2104        2438        3070        614661966     511638095     8005220       0             85261562536   46043970568   3162279394    156547810     60083773      40877721      30716856      24566552      20474914      17558503      15358715      13651580      12294723      11169130      10241081      9454959       8775428       8192186       7681960       7224454       6822444       6468431       6141073       5851558       5587728       5345806       5116571       4912582       4730772       4548701       4387159       4236066       4099073       3963287       3840603       3724267       3612601       3512761       3413510       3323754       3229945       3151476       3071687       2996970       2921088       2854520       2792841       2729329       2674391       2615289       2560654       2506080       2458848       2407981       2360717       2318578       2277905       2233875       2193689       2155960       2120685       2082065       2047597       2013768       1970081       1874753       1532102       
0.800 1            1               11.1071         1545        20          40          141         2873128642    2822495628    2102884       0             15102183138   11707037128   108281775     1888316715    404603333     199211683     113057173     68212158      42526253      27227984      17732122      11689072      7771158       5210456       3515519       2399499       1664403       1190547       903089        755094        717169        762831        863378        986094        1100376       1182573       1227819       1240906       1249395       1282887       1379256       1565733       1850187       2236230       2694071       3193642       3695618       4135647       4489992       4697667       4755718       4649298       4392626       4015324       3556714       3066004       2573063       2123664       1727813       1389145       1112983       884636        694065        534201        397870        282710        188840        117947        67260         34953         16257         6639          2388          639           132           20            4             
0.800 2            0.999997        404.641         4863        1264        1513        1968        1699313222    1606448645    7747745       0             63974213082   40064225420   2123288109    1259206611    61154094      40510766      30687015      24586604      20492113      17553157      15363421      13652994      12289162      11170049      10236960      9452913       8779144       8198164       7681134       7227212       6824835       6464959       6145794       5849062       5584782       5341948       5122908       4910632       4724467       4546684       4388549       4235018       4098373       3965062       3841807       3720276       3614174       3511179       3412473       3326283       3237511       3151468       3074799       2997171       2925655       2853714       2789264       2721648       2654885       2582012       2505102       2413808       2303499       2165617       1993937       1782552       1531202       1252693       959012        679602        434853        246697        119757        47924         14705         3037          320           
0.800 3            1               4.68057         114         11          15          24          4210284180    4179779535    433299        0             17321998769   14855066963   28285637      3045679405    677613719     256659472     102879261     43165300      18913127      8688481       4212240       2150131       1155054       648510        375133        221240        133972        81798         49809         31084         19700         12838         9744          10403         15021         26305         48738         88201         153376        256930        411507        630642        922940        1303253       1746858       2250467       2774296       3272138       3689097       3978641       4100244       4033125       3785060       3393322       2891679       2343462       1807974       1323150       916337        600434        370314        215520        116505        60069         27852         12395         5056          1902          660           217           53            16            2             1             0             0             0             
0.700 0            0.999994        735.484         5927        1597        1864        2382        644642192     541638219     8476349       0             49789497862   26883743091   1937589469    187966007     59248470      40753898      30692496      24574689      20479649      17553298      15360575      13648493      12294392      11169591      10239321      9451545       8774735       8194276       7677343       7224610       6828812       6465381       6144754       5854076       5588183       5342263       5120227       4915797       4722924       4551855       4388075       4237007       4093377       3962993       3840810       3723368       3614085       3511855       3414940       3322394       3236196       3150746       3072582       3002052       2924644       2859814       2789504       2726799       2669879       2613994       2558080       2507713       2456835       2410108       2361929       2318846       2272952       2232720       2195487       2157376       2117589       2083259       2044192       2001814       1929764       1750935       1249819       
0.700 1            1               8.62718         1770        12          27          142         2842457641    2789371897    2374710       0             9925465458    7407067719    76685690      1841102034    423332530     204337927     113718748     67524167      41520211      26213658      16853481      10968232      7200667       4752001       3159216       2119823       1434442       993217        718381        563432        505549        527563        617211        744052        886730        1009041       1088963       1117423       1106268       1085464       1093252       1168011       1339216       1625916       2017541       2499447       3041311       3587142       4095516       4511669       4787221       4891384       4814764       4561005       4173501       3689749       3157770       2622466       2136588       1709508       1364106       1090005       870721        693278        542906        413217        298728        201855        125962        72135         36456         16202         6228          1915          429           88            2             
0.700 2            0.999998        238.529         4258        786         980         1348        1562517176    1467626352    6769199       0             29534772301   17976328986   825191882     1118394819    63181392      40341386      30447435      24519365      20465659      17557381      15357495      13647677      12290933      11169781      10235127      9453989       8776597       8191028       7676232       7223618       6825729       6467420       6144235       5849824       5587774       5344151       5119731       4913720       4725863       4548855       4390860       4237553       4100401       3962249       3836301       3724351       3615577       3510624       3409674       3320173       3230525       3151418       3069457       2994748       2925689       2855916       2792078       2727486       2666249       2600012       2536822       2462625       2378096       2280522       2153608       1994129       1796186       1552851       1277277       982711        691033        436466        238841        108354        38643         9314          1141          
0.700 3            1               1.79659         125         5           7           15          4339438385    4307283400    23790         0             8729413043    7324028845    650044        3137011112    748108045     257491959     93419773      35314577      13918953      5758172       2524555       1173415       578190        297524        158838        87519         48723         27308         15530         8921          5097          3008          1792          1293          1511          2779          5892          12444         25589         50363         94769         169950        289975        468966        725333        1066121       1496715       1996160       2540909       3075885       3534306       3866438       4013830       3949267       3686278       3250873       2711518       2133879       1580067       1097783       715751        435635        247396        129197        63285         27828         11383         4150          1361          373           102           19            1             0             0             0             0             
0.600 0            0.999995        562.967         5613        1269        1502        1964        689419319     586455205     8241044       0             29621199074   15949748215   1093800399    234816595     58189163      40496629      30638972      24574099      20477941      17554064      15359297      13644048      12286015      11165964      10240308      9453546       8776117       8191077       7678380       7230642       6827679       6467343       6144615       5850466       5583161       5346214       5120845       4914967       4726639       4544965       4392089       4242328       4097470       3962981       3842157       3721891       3613622       3510501       3413781       3317048       3234931       3151989       3070378       2996074       2926758       2857616       2792350       2731464       2670892       2613250       2561073       2506966       2458245       2412261       2361588       2319916       2274448       2235947       2194350       2155989       2117618       2079129       2032110       1959971       1821688       1526298       942401        
0.600 1            1               7.38354         1891        8           20          146         2891389119    2837200913    2208927       0             7123038196    5168070975    49235991      1880456054    438973312     208443612     114050777     66796610      40494167      25109273      15856775      10119462      6513726       4214859       2740163       1791247       1182564       791221        545769        399170        329859        327007        387016        498431        640919        786919        903440        963977        967163        924067        875741        858892        912251        1066353       1341184       1737674       2230469       2799651       3396331       3965718       4452402       4793608       4968963       4935078       4706622       4313663       3801410       3226933       2652525       2116149       1661487       1298355       1017702       807855        644045        509367        388814        282250        190324        116663        64234         30774         12612         4197          1055          195           14            
0.600 2            0.999999        166.25          3771        570         743         1082        1489637632    1393845424    4802427       0             15795924698   9367857488    287738996     1039119519    68028048      41045501      30257558      24406654      20406787      17538637      15355082      13657680      12291673      11166703      10236312      9449600       8777849       8190786       7679514       7233203       6823193       6463140       6144122       5854973       5584930       5343528       5118252       4916315       4727325       4551912       4388881       4239382       4095116       3962874       3838618       3723115       3611951       3508788       3412517       3321924       3234203       3151276       3071819       2995408       2924097       2858475       2788778       2727338       2662572       2601119       2534597       2471109       2391751       2298601       2189217       2051482       1884225       1676138       1427714       1151082       862400        588027        352417        178066        70888         20025         2846          
0.600 3            1               1.00224         171         3           4           12          4540029122    4508170372    4769          0             6051894514    5059417166    76476         3334175459    797345674     247504379     80242764      26872375      9341262       3399142       1312311       536985        235875        108010        51418         25596         12917         6540          3350          1628          893           434           256           156           106           129           341           889           2154          5239          11968         25807         52330         100341        184418        317652        521354        812927        1193841       1666761       2201211       2746973       3244947       3620379       3804897       3772513       3512938       3081443       2521630       1938518       1386966       923354        568945        324190        169670        80945         35519         13662         4804          1442          405           72            16            2             0             0             0             
0.500 0            0.999996        442.22          5245        1046        1264        1708        756062018     653261354     7404825       0             17517081457   9385075232    555468463     304540908     56807679      39999047      30514644      24528083      20471635      17543296      15364586      13648874      12287263      11170165      10241947      9452642       8781246       8186261       7680841       7228874       6827038       6470139       6146796       5849508       5591862       5339876       5126130       4917887       4725063       4550253       4388002       4234602       4096609       3962900       3840714       3722741       3613501       3510273       3413423       3322524       3234251       3153627       3071093       2995640       2926386       2859012       2791963       2730788       2669414       2615697       2560214       2507982       2457157       2408163       2360218       2316841       2274734       2233373       2193494       2152063       2107564       2051258       1972808       1839412       1606036       1219473       655525        
0.500 1            1               6.48822         2107        5           15          149         3027800183    2974183989    1861414       0             5223735752    3741330598    28798579      2017167080    449335556     211161644     114110297     66165411      39489388      23784375      14628858      9077146       5667076       3552492       2233302       1408963       895244        573954        376583        257010        192637        173425        200285        276434        394413        538384        675973        772897        809962        782812        711585        633783        589819        614993        736558        973748        1328186       1795267       2353396       2972645       3594868       4164283       4612449       4894160       4967538       4820733       4473487       3971093       3376848       2749371       2168753       1661038       1257558       959114        741145        580473        455443        346308        249047        164255        97635         50394         22127         7899          2166          380           37            
0.500 2            0.999999        131.132         3970        465         634         979         1488392021    1392771372    3313124       0             9364166434    5466963760    103762492     1030983512    74718779      42258429      29888718      24159835      20258910      17472199      15324242      13639298      12277912      11168916      10233220      9456481       8777310       8189676       7675696       7225201       6825036       6464343       6143551       5849105       5587027       5341129       5118265       4914672       4729181       4550826       4388435       4237293       4099625       3961773       3841310       3725333       3613783       3511897       3416412       3319941       3231439       3152866       3070040       2993784       2921923       2859093       2785553       2719112       2654418       2593538       2521041       2445507       2360115       2263937       2144999       2004626       1836996       1638567       1411833       1155739       893773        632000        402133        219874        96572         30146         5126          
