#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.990 0            0.999975        3088.94         13976       5282        6146        7678        577881871     475883467     4734334       0             375994434881  201487460094  8170835880    122753296     60511263      40539981      30427095      24335949      20272909      17380918      15210658      13517256      12163524      11055309      10135410      9358824       8688460       8113589       7600503       7156478       6755665       6403704       6081681       5794491       5529116       5290192       5068979       4863677       4675576       4506052       4342274       4195394       4050591       3922645       3801798       3684863       3574013       3473918       3380785       3290122       3203513       3116421       3042524       2967896       2900237       2828227       2761933       2704294       2649121       2589057       2535008       2483989       2432856       2387014       2340354       2294611       2251506       2214548       2171278       2134480       2099766       2060019       2029406       1991987       1962049       1919475       1903344       
0.990 1            0.999998        191.754         5026        428         750         1412        3187386333    3146354299    383946        0             263942898283  217635111686  391223698     2310676753    352597225     175940117     101047489     61062878      38016154      24377406      15880023      10458583      6944543       4625313       3098013       2075364       1398163       947972        651311        458963        339581        274205        251217        270269        336010        458474        651918        932318        1313366       1800328       2384885       3048186       3750663       4438187       5055628       5541605       5848395       5943829       5806049       5468657       4959989       4321295       3621802       2923406       2268976       1689150       1210417       833080        550579        350292        212136        125284        70687         38895         20278         10577         5182          2501          1037          459           188           56            20            6             1             0             0             
0.990 2            0.999954        5649.01         25118       12862       13806       15478       2080428586    1995995362    543597        0             1297414187144 854099075381  2387960673    1622874421    79178626      47082680      33170113      25529132      20810343      17632082      15327159      13574399      12195360      11068640      10148143      9359732       8692279       8111887       7604960       7154106       6764250       6398983       6080375       5795901       5527972       5291423       5070072       4865684       4681687       4503197       4344893       4194452       4054216       3921295       3801546       3685996       3574554       3476854       3375820       3284862       3196377       3110979       3024063       2937384       2850509       2755935       2653091       2540372       2405329       2251711       2068228       1859220       1626471       1373799       1114160       860344        623504        423286        265847        151061        76944         33932         12873         3970          935           153           15            
0.990 3            0.999992        1010.3          3003        1760        1885        2094        4420521124    4385534881    254923        0             3817607947196 3075016483468 5357560973    3578538966    492997572     168742567     64809226      29603327      15548318      8670951       4923683       2848911       1684722       1024546       639544        406680        264467        176287        123603        96333         88689         99647         128257        176670        243864        331187        439246        561992        698481        843261        985225        1129425       1256718       1365367       1449933       1513190       1546017       1558364       1553452       1543910       1531803       1534674       1558491       1605412       1675792       1766293       1861723       1951727       2018896       2055927       2056609       2006524       1914692       1777511       1593381       1380532       1137576       888248        648491        435753        264695        142988        66359         25285         7464          1527          153           
0.950 0            0.999983        2017.23         10565       3800        4430        5550        582260795     480272361     5807751       0             228858354669  123054529527  6126809482    127387547     60328094      40533197      30419644      24331477      20275329      17374376      15211828      13514881      12166082      11062199      10139817      9357082       8689434       8106835       7606946       7159527       6757812       6404651       6088463       5789183       5527978       5288297       5069175       4863918       4679156       4507331       4343263       4197587       4053326       3921503       3802298       3685007       3578830       3475826       3382868       3289228       3199651       3119717       3038389       2965632       2898935       2832061       2762960       2704037       2643401       2588056       2535430       2483300       2432977       2385037       2338037       2295016       2251839       2213049       2171796       2131314       2098071       2061112       2027144       1993178       1962085       1919031       1839545       
0.950 1            1               49.1995         1610        108         189         401         3107570590    3066759754    1817005       0             68522436048   57151079163   493814807     2154265633    374321042     192966550     113782055     70435229      44685539      29048630      19130426      12722470      8524627       5735956       3885033       2647701       1828734       1297489       964918        770221        678489        647245        655253        692073        741275        808034        904814        1050004       1256948       1545665       1911649       2352373       2848227       3356139       3846896       4272187       4584199       4761212       4767726       4619155       4319752       3916083       3430995       2911371       2395061       1914881       1485809       1133177       840150        611790        438301        306622        210455        139487        89283         54123         30889         16639         8101          3687          1448          478           148           39            4             1             0             
0.950 2            0.999984        1928.27         12341       4882        5430        6402        1975024136    1888269382    2936768       0             411237392968  267177539535  4862087926    1530707228    69351151      43848903      31742697      24826623      20461856      17454839      15228201      13528471      12170623      11064133      10134586      9358838       8690428       8107751       7604010       7155718       6759173       6404148       6082586       5797354       5525962       5288212       5069357       4864628       4679059       4504701       4348011       4196356       4057232       3926180       3798798       3686968       3574995       3476349       3379319       3287187       3200039       3118408       3036265       2958375       2877756       2796656       2714292       2620411       2520542       2395088       2249872       2075283       1871431       1637115       1381059       1112054       847354        605784        399042        240058        128929        60686         24696         7994          1957          335           24            
0.950 3            0.999999        165.01          678         307         340         394         4356721150    4325594368    900726        0             572790434594  481460017341  2630087240    3398547624    532904899     195437557     90470016      45999149      23256068      11626642      5877440       3065152       1662715       935316        542559        324395        198952        125215        80710         55212         42109         39058         45155         62035         91788         137780        202932        289692        402986        540658        701870        886405        1088169       1301495       1514579       1721743       1917175       2086412       2230486       2345247       2423185       2466998       2474425       2446558       2379563       2281329       2153420       1992236       1807430       1604726       1390406       1168657       955025        750880        568378        410802        281910        182810        110568        61468         31413         13882         5476          1691          443           68            8             
0.900 0            0.999988        1502.28         8911        2982        3462        4338        589105999     487123461     6772576       0             155034405570  83550037762   4871385928    134587974     60092135      40535949      30409756      24323758      20277591      17379312      15206184      13515177      12165669      11064091      10129666      9354628       8689941       8112324       7605819       7156699       6760239       6401307       6084445       5793154       5534728       5288301       5074241       4862158       4681417       4501682       4343781       4195965       4056486       3924590       3802245       3685940       3577127       3480145       3374918       3285158       3202668       3120364       3041752       2966471       2895168       2828764       2761311       2705043       2642612       2589842       2534118       2484220       2432223       2384832       2337385       2294066       2251066       2210826       2174303       2136502       2096517       2064944       2028812       1992225       1959787       1906581       1748897       
0.900 1            1               22.2015         1342        48          84          202         2981138506    2936057882    2084832       0             31861015889   25929129503   250906466     2018923457    383318823     194157127     112953052     69400419      43820867      28376253      18642321      12381914      8287174       5595241       3800673       2612715       1832157       1332001       1034726       883898        839930        868038        933960        1010157       1079226       1128598       1170048       1225005       1313878       1465190       1700269       2018508       2414479       2866333       3340781       3790585       4170795       4445986       4584826       4577061       4418717       4127463       3741191       3288108       2817802       2349185       1919227       1541145       1218167       951359        731111        553032        407185        289575        197928        128478        77733         44321         22786         10629         4600          1646          503           119           19            6             0             
0.900 2            0.999993        919.001         7653        2600        2988        3676        1866753418    1777922944    5639651       0             178709193033  114801915066  4291613911    1429344195    63529297      41701854      30936603      24502205      20333798      17398894      15211307      13516767      12166065      11059372      10139919      9351154       8684640       8111381       7608823       7153747       6760022       6403387       6085191       5794696       5531878       5289649       5071582       4861649       4679176       4504169       4347582       4196801       4056090       3926583       3800487       3685302       3581648       3476245       3379408       3284384       3200392       3115374       3039260       2962432       2887935       2815348       2743679       2670078       2582854       2487287       2373893       2237660       2068942       1869723       1632168       1370092       1094541       821108        572631        364005        208544        104205        44654         15615         4182          799           67            
0.900 3            1               35.8725         231         72          84          105         4230472304    4201033360    2262768       0             115294719480  99470344249   1172953588    3189809450    561495065     230512010     105684745     49203959      23109773      11131305      5563738       2896642       1567573       883361        515945        310141        190207        119221        76270         49853         34699         27202         27596         36201         56100         91395         148275        233590        355907        522182        739575        1008720       1323924       1682795       2055156       2429627       2772101       3060202       3269674       3373796       3373400       3268718       3068083       2795218       2468373       2117696       1763868       1426025       1119099       850859        625525        443827        303952        199001        124743        73793         41695         21953         10763         4777          1952          700           237           60            11            1             0             
0.800 0            0.999992        1002.1          7073        2100        2434        3068        608472009     506484367     8003197       0             84249154779   45498710433   3140216004    154933460     59484161      40472360      30406827      24330265      20272554      17379962      15213227      13513503      12167540      11053662      10138993      9355788       8686510       8109238       7599840       7153409       6756655       6399223       6085500       5789254       5530531       5292202       5067932       4868398       4680170       4505357       4345472       4192595       4056815       3926032       3803084       3685059       3576592       3472195       3380111       3285810       3204144       3119556       3041166       2966530       2897405       2827026       2764793       2702841       2641716       2587728       2535618       2485155       2434571       2387707       2337762       2292110       2252737       2213775       2169840       2135715       2097878       2062419       2027923       1993805       1949003       1853851       1518949       
0.800 1            1               11.85           1603        21          42          154         2845264869    2795181784    2671115       0             15020030160   11603183562   135859908     1870787803    400274090     197067944     111876569     67490064      42077794      26959781      17566578      11572377      7700629       5164811       3486650       2380379       1652553       1180337       894766        747843        706777        749681        848257        972641        1084760       1169265       1216460       1231877       1242835       1281644       1378593       1562058       1848628       2229675       2684059       3176494       3668529       4110084       4449519       4658275       4705889       4592049       4335950       3961994       3506491       3015395       2534532       2085713       1693076       1366760       1093848       874451        689673        533500        397666        283881        190535        120159        69244         36134         16770         6902          2368          657           121           30            2             
