#Load Traffic-Mode Burst-Size Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.950 0            1          0.999981        2411.6          14782       4666        5446        6930        1296491296    1215145983    4072036       0             277710809121  172568635070  5002786660    856685389     58041208      40094389      30326001      24308690      20274957      17366427      15209757      13514946      12165734      11057960      10137593      9355475       8690124       8111572       7595997       7159340       6759681       6402741       6082949       5797812       5533666       5290830       5067646       4863019       4676610       4500411       4345249       4197739       4057513       3923559       3801255       3688602       3578675       3478742       3378335       3288121       3197519       3115645       3036410       2963526       2886847       2811560       2737601       2662885       2583195       2508576       2430150       2345887       2261456       2169474       2073365       1977788       1869109       1754988       1628225       1487592       1330634       1155859       964860        753594        534868        316720        124249        
0.950 1            1          0.999999        70.9587         3187        155         270         612         3998433743    3971350367    1008106       0             99327881506   89240475602   372561028     3111255992    388457210     188258721     103084558     58750439      34295361      20483045      12409744      7598481       4700478       2929496       1847748       1190960       795547        569730        448975        394690        384914        409581        470184        578791        750770        1000715       1340806       1762691       2260719       2795247       3327693       3812752       4206680       4454802       4549148       4477560       4257306       3907468       3465588       2972625       2467895       1985052       1542650       1163196       850904        603153        415172        279019        181364        115758        71847         43492         25658         14793         8277          4353          2201          1045          444           155           67            24            8             0             1             0             0             
0.950 2            1          0.999982        2168.28         16247       5682        6466        7882        2429659408    2365776189    1835956       0             468757659243  343660693405  3341804623    2002263342    64482640      41977933      31126211      24617263      20389543      17430930      15219874      13516200      12171053      11058849      10133811      9359689       8688992       8112724       7602716       7152523       6757900       6398442       6081388       5791428       5530535       5287768       5068317       4864709       4679971       4508956       4345270       4193537       4051047       3920079       3792998       3676199       3560231       3447461       3339761       3234092       3121204       3014222       2895978       2776513       2644355       2499575       2338894       2165840       1975836       1765235       1543025       1311358       1080207       855252        645524        463541        312410        197416        113403        59982         28390         11380         4065          1149          237           33            2             
0.950 3            1          0.999998        226.314         965         419         466         547         4569888760    4541648603    722789        0             786876101305  675643130511  2878599690    3650361547    527182399     185262641     80861339      39911914      20112405      10120645      5149216       2704235       1473039       830238        482529        288468        177034        111357        73935         55255         49844         57879         79511         117402        176143        258115        364815        498693        660451        844889        1044356       1253623       1461854       1657928       1835018       1984266       2101159       2184546       2235951       2252875       2247706       2221731       2174846       2108426       2025886       1921048       1794217       1649521       1485779       1311366       1126502       941521        760301        590958        442065        313788        211231        133025        77626         41286         20005         8345          2971          881           183           28            4             
0.950 0            2          0.999977        2812.95         19633       5538        6482        8326        1712529481    1636928865    3136414       0             326828032830  216828392726  4282534836    1283729830    55933941      39345494      30079393      24232045      20245958      17366689      15197549      13519015      12163325      11059605      10135624      9360309       8687706       8110644       7606002       7157279       6753671       6398996       6084587       5788989       5528241       5289923       5070432       4866000       4682814       4507882       4343027       4193923       4051775       3920456       3796677       3676975       3567441       3460328       3355943       3258549       3154528       3059436       2962950       2867638       2775917       2680143       2582060       2489963       2388991       2288717       2187207       2076789       1962967       1845634       1716618       1584532       1443679       1293124       1135011       970014        805528        635879        470996        320044        190219        88258         25602         
0.950 1            2          0.999999        96.8989         4941        211         368         849         4386332073    4361382425    801384        0             135256986815  123158410089  389878120     3548187143    390118373     178534401     93182180      50687026      28326993      16238734      9468291       5596589       3339071       2021273       1243727       787866        526218        383100        314981        296444        316774        375436        485898        663337        919169        1263342       1692938       2183141       2710487       3222641       3680973       4038182       4258983       4321088       4232850       4005901       3664679       3238088       2772736       2299555       1844322       1433301       1077239       784883        552462        378295        251105        162567        101461        62436         37288         21745         12408         6885          3701          1848          890           379           160           64            16            8             2             0             0             0             0             
0.950 2            2          0.999981        2428.06         20881       6502        7514        9358        2719025852    2660331730    1368475       0             529604439965  404937483597  2659558404    2303416372    61558849      40434872      30504554      24381625      20292559      17384235      15202493      13516044      12173215      11057437      10140566      9354203       8688576       8109033       7602872       7155688       6761025       6401556       6085709       5789521       5527200       5289257       5069786       4861474       4672236       4496900       4330307       4172241       4023686       3882458       3750752       3612627       3484038       3355230       3223766       3094993       2960194       2815522       2663304       2505251       2333322       2152221       1956122       1749840       1536781       1320453       1102553       893054        696228        519600        370313        250062        158328        92962         50356         24830         10737         4049          1372          366           65            12            0             
0.950 3            2          0.999997        302.986         1431        559         624         737         4677482031    4650368248    608243        0             1053421398136 912578850020  3218773535    3776166536    525808455     179787032     75879646      36991320      18683702      9458593       4835679       2543605       1383246       781908        454160        271627        166201        106013        72907         58901         58776         73887         104487        153885        224592        321086        443732        592874        764923        959104        1164979       1375871       1575252       1761350       1919784       2042585       2129700       2180864       2205684       2199245       2168609       2121939       2058795       1980138       1885062       1783538       1649890       1509051       1349968       1185273       1010188       836713        670377        515706        381364        267487        176954        109586        62839         32817         14945         5966          1971          546           99            18            1             
0.950 0            4          0.999971        3571.8          25800       7178        8462        11006       2183783194    2115536261    2084314       0             419666730412  299145092378  3366792135    1768963242    53503690      38106003      29550322      24000745      20142050      17325453      15180286      13502757      12156782      11055698      10133547      9357528       8690148       8111822       7603140       7155150       6757697       6401663       6077031       5788902       5531194       5287198       5067772       4859434       4670200       4490586       4327931       4175721       4022046       3882789       3748237       3620054       3496216       3371545       3253483       3141681       3022318       2913572       2795940       2681773       2565640       2450137       2329459       2205044       2078757       1946380       1810975       1668751       1521855       1372800       1219636       1064462       909337        755339        608429        472473        346838        239412        151261        84922         40418         14586         2937          
0.950 1            4          0.999999        151.177         8615        330         572         1343        4748643022    4725301807    621947        0             210066530594  193000063690  457210993     3971194802    384877513     163456267     81069953      42134080      22631175      12506934      7056449       4041574       2347857       1383190       833700        523232        351548        266903        234845        242639        292071        386789        545005        777751        1098184       1498011       1970745       2473790       2971003       3419346       3778555       4010007       4094039       4033935       3839494       3527822       3133973       2706058       2252454       1818035       1419693       1069415       783810        552446        378851        251291        161675        101015        61556         36578         21252         11996         6711          3575          1874          885           407           177           55            24            4             3             1             0             0             0             0             
0.950 2            4          0.999976        2942.26         28063       8090        9526        12174       3071234969    3018814326    884774        0             649121011754  519655954143  1948866283    2670372767    58731596      38452048      29522556      23944651      20077653      17281374      15153621      13492186      12151254      11047190      10135969      9353773       8691161       8108774       7602391       7149564       6752596       6395000       6077874       5783133       5517448       5269765       5041261       4835833       4637130       4453705       4275971       4106038       3944616       3786013       3629931       3477150       3314931       3161306       2999082       2826413       2655576       2472371       2279299       2078219       1872888       1657569       1445262       1233235       1026385       830824        650172        492050        356996        248032        163400        101260        59110         31493         16013         7002          2733          961           297           87            11            0             0             
0.950 3            4          0.999996        461.752         2039        850         952         1129        4783723031    4757718689    475988        0             1604955137247 1401754980335 3814637135    3898069872    526095813     174743376     71302522      34294512      17341059      8807575       4516090       2375880       1291309       727761        421996        251722        155625        100120        72074         62713         68507         90538         128213        186537        267372        372039        505012        662739        844675        1043289       1250689       1457003       1649507       1820810       1960037       2059898       2126435       2156491       2154469       2131592       2079899       2022354       1949766       1867707       1767657       1653414       1527889       1387363       1233910       1072552       909954        746675        593431        453191        331433        228352        148809        90572         50148         25011         11188         4254          1258          315           57            1             0             
0.950 0            8          0.99996         4986.59         40425       10254       12182       16062       2634156243    2573406190    1189683       0             592924476970  450196059997  2449144737    2234544969    51257772      36522865      28683355      23545639      19897116      17176370      15093055      13458006      12126387      11038207      10120238      9348706       8678211       8103427       7598588       7147437       6750448       6396427       6070461       5782067       5516540       5272008       5042193       4833990       4638186       4453089       4280946       4114946       3961211       3808929       3659325       3520635       3376347       3243601       3108266       2969938       2836240       2700949       2564419       2424003       2277715       2128185       1977268       1823468       1662933       1502099       1339125       1178689       1017703       864420        715342        577621        450764        340633        244896        166538        106683        61799         32843         14816         5479          1510          202           
0.950 1            8          0.999998        261.481         13662       570         987         2344        5027324586    5005182475    471756        0             361720313957  334257647133  585549664     4307613129    373887316     147817606     70421889      35346719      18437520      9921941       5474178       3069616       1749060       1013702       602038        377811        260071        205724        195039        220988        288630        407926        594490        861774        1212446       1637037       2112142       2605241       3066643       3460246       3743110       3894812       3905546       3781980       3532869       3191444       2787157       2355200       1925363       1522253       1164347       860374        617487        428123        285925        184737        115825        71398         42127         24432         13644         7470          4014          1999          1085          538           225           104           46            20            8             2             0             0             0             0             0             
0.950 2            8          0.999968        3961.84         42265       11190       13430       17630       3427610209    3381353908    502500        0             884570989641  737558180411  1377060968    3042412453    56577422      36346845      28327353      23286638      19717562      17058116      15016639      13398929      12093289      11014389      10109606      9329844       8669288       8098074       7586386       7136607       6736327       6375509       6058710       5760054       5488822       5235334       4999624       4781342       4573460       4371153       4183335       3993350       3804948       3623598       3437040       3252131       3055685       2858706       2657409       2452176       2235492       2011768       1789603       1566109       1346921       1136860       937672        754144        586884        443495        323329        227357        151680        96742         58525         33208         17563         8597          3806          1545          522           179           47            8             0             0             0             
0.950 3            8          0.999993        774.271         3918        1424        1600        1907        4869863963    4844728662    352441        0             2690768570351 2364433031136 4715618264    3995468351    527415331     170935135     67834372      32163700      16241655      8265685       4241820       2226834       1206628       677169        391543        233173        144233        94543         71442         65500         76461         102961        146285        210661        298465        409788        548197        711073        892526        1093821       1298319       1495662       1681042       1836644       1959306       2048077       2098634       2117054       2103485       2065092       2013462       1945122       1866026       1779703       1680339       1566803       1440082       1300851       1151948       997347        837582        686383        539918        409449        295978        201677        129548        77082         41464         20028         8391          3028          856           185           37            7             0             
0.950 0            16         0.999937        7741.59         67243       16262       19470       25966       3004069554    2949531931    614977        0             929903921533  739281393587  1778425301    2619688384    49243317      34694072      27558593      22832038      19434534      16870040      14890262      13300613      12009058      10953611      10053909      9293108       8635333       8072305       7559956       7121226       6725558       6369945       6049352       5753255       5485796       5239651       5013052       4797488       4591388       4408757       4223384       4053517       3886211       3722409       3562110       3407373       3253825       3098883       2938850       2784656       2622303       2459901       2292593       2122742       1948169       1771073       1595403       1418211       1244802       1075636       915312        758478        615958        486125        373363        276172        195946        132292        85104         51381         28442         14494         6435          2447          750           187           16            
0.950 1            16         0.999996        480.49          24948       1047        1811        4334        5216884150    5195647877    348378        0             662795881800  614873677637  780889831     4539634688    363308512     136094895     63096984      30969921      15876313      8409478       4570710       2532119       1424313       819256        484067        304823        211767        176278        176132        211017        285689        415168        614656        895303        1257941       1688764       2160126       2639432       3077620       3436167       3681566       3790841       3757165       3595543       3319309       2965570       2555201       2132915       1723300       1345240       1015704       741581        524829        356413        234575        150225        92774         55967         32787         18778         10390         5660          2967          1459          702           331           151           48            16            4             0             0             0             0             0             0             0             
0.950 2            16         0.999951        6013.99         71203       17358       21182       28430       3726844778    3685444256    266115        0             1356105534207 1164237491259 1025174716    3356363655    54953143      34436772      27044520      22507508      19212942      16718027      14770953      13221657      11964916      10914594      10031382      9270030       8622489       8052908       7549313       7107124       6709464       6354061       6021682       5722271       5448317       5184024       4946117       4706655       4487227       4271711       4057947       3846400       3635797       3422712       3205162       2985983       2757402       2523706       2289159       2049044       1805917       1572994       1344941       1128447       927809        740682        576861        438476        321807        227596        154409        99998         62144         36278         20419         10457         5049          2268          948           369           94            28            12            1             0             0             0             
0.950 3            16         0.999989        1390.5          6536        2558        2880        3442        4931288815    4906790690    251015        0             4831415460612 4262631987670 6028357179    4061351516    531337544     168934535     65543881      30697166      15439536      7856932       4017797       2099721       1132574       630077        360501        214649        131931        87333         68785         65889         80144         109564        157025        223954        314305        427465        566801        729033        911813        1103856       1302732       1492922       1669226       1814202       1931309       2007203       2050224       2065299       2049902       2007794       1959411       1891650       1816155       1728950       1629323       1518005       1391397       1251294       1107726       954889        799831        650508        510734        382460        273842        185892        117741        69331         36593         17482         7127          2474          682           143           31            4             0             
0.950 0            32         0.999891        13293.2         134836      28398       34206       46014       3265287197    3214952422    320098        0             1607081529505 1314137833841 1459626395    2894470907    47378727      32997097      26351151      22014204      18838314      16440576      14547737      13057323      11826954      10797149      9936915       9195526       8559057       8003725       7514911       7081262       6685759       6331317       6016866       5729096       5456062       5207130       4976578       4757177       4554544       4367808       4175121       3998469       3820105       3647512       3480028       3308492       3133188       2966152       2787444       2609963       2428317       2240731       2054391       1863077       1671351       1482382       1295860       1116156       944624        784541        633747        503647        387563        288749        206828        142915        94164         58526         34532         18704         9388          4153          1769          539           170           27            0             
0.950 1            32         0.999992        915.77          58092       1994        3448        8302        5334459595    5313854184    250530        0             1261869892408 1173675615804 1060768409    4684148537    355548003     128720458     58767457      28453962      14413856      7572072       4085328       2250329       1254207       712950        421451        264588        189619        160378        165969        203419        283626        416457        621083        908815        1275063       1705942       2178996       2642496       3065143       3408441       3624348       3707903       3654511       3472098       3189138       2820280       2418301       1998916       1600065       1237602       925944        668274        466945        315133        205577        130282        79275         47065         27070         15315         8311          4344          2257          1091          540           189           94            58            21            2             1             0             0             0             0             0             0             
0.950 2            32         0.999918        10181.1         130086      29806       36798       50110       3935936861    3897653742    144238        0             2310750669230 2018639621207 891343056     3577110619    53836895      32947599      25974852      21746906      18672792      16322120      14493584      13007800      11792832      10792940      9932239       9183991       8558062       8000345       7513519       7074794       6671667       6311094       5994564       5689029       5400804       5139857       4890946       4648741       4406503       4176361       3949337       3714140       3484270       3242280       2997204       2747792       2498847       2245205       1992394       1740852       1497446       1264338       1048114       848174        670351        515198        385691        278458        194177        130512        84284         52103         30289         16968         9223          4505          2009          806           316           83            25            10            5             0             0             0             0             
