#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.990 0            0.999972        3450.77         15334       5710        6494        7962        583756813     495768812     16468133      0             423366383039  241179586567  29614294778   123983987     61177909      40955799      30719400      24583499      20479351      17546809      15367888      13653020      12283315      11166778      10242479      9453861       8774614       8193079       7677189       7230685       6823728       6470029       6143080       5852198       5584111       5343006       5121380       4913603       4726374       4552790       4390331       4235939       4093032       3963330       3839877       3723469       3613085       3508445       3413540       3322597       3236566       3151409       3071426       2996374       2924986       2858251       2791427       2730572       2671512       2613273       2562421       2508252       2457216       2410626       2362722       2318195       2275452       2235819       2193683       2158520       2117089       2081117       2047657       2015840       1981641       1944137       1917024       
0.990 1            0.999999        187.454         4661        419         735         1383        3218470421    3179765865    1631049       0             260208640952  216136699953  1628176803    2326945049    357717558     179125102     103152230     62455417      38952599      25011560      16309673      10739346      7132832       4758258       3187103       2138816       1442919       980599        671767        472750        350266        280890        257033        275422        340904        464853        662103        944751        1327427       1817098       2399410       3062147       3758714       4444654       5055890       5541985       5844306       5932316       5800480       5460981       4948897       4314551       3622950       2928458       2272921       1698107       1218728       838979        555304        353079        216881        128382        73514         40662         21501         11382         5851          2844          1270          601           231           93            18            8             1             0             0             
0.990 2            0.999956        5409.2          23584       12366       13302       14958       2102928121    2032700399    1148813       0             1254586914166 865294015359  4522780023    1640582112    80194219      47559807      33509147      25786202      21024547      17805690      15471747      13703802      12315290      11184969      10254024      9453622       8779169       8195854       7684698       7225038       6824699       6466349       6139494       5851230       5580401       5342832       5119307       4916836       4728805       4551837       4391335       4240184       4095175       3960710       3837685       3721527       3615241       3511476       3412987       3318718       3227424       3138776       3052126       2968259       2879085       2783708       2677874       2564695       2426909       2274374       2087512       1874435       1641913       1383468       1122449       865877        628306        425789        266820        152172        77096         34065         13112         4011          933           160           8             
0.990 3            0.999992        1031.67         2944        1772        1879        2060        4422133079    4387239649    1488686       0             3938221485784 3206147038746 30146128199   3610916277    452742060     161105974     66004274      32523959      18111669      10536760      6221722       3734927       2294411       1440683       923124        602323        400459        276680        206408        178204        187217        225017        300024        403672        534195        693548        866054        1046715       1229235       1402442       1557974       1685636       1793126       1862297       1906176       1915648       1896142       1855946       1796079       1729751       1667134       1619560       1595891       1602597       1633686       1684327       1743997       1796613       1824708       1825593       1792486       1717932       1606854       1467118       1303610       1118423       923358        725727        538440        372203        233767        131579        63989         26354         8277          1835          213           
0.950 0            0.999981        2274.12         11519       4150        4742        5858        588355781     500371485     21783108      0             259665326846  148963564022  24051356618   128732343     61076819      40961972      30724396      24582014      20478961      17550649      15358044      13653826      12286558      11174819      10242777      9453310       8774737       8198957       7681857       7232817       6825864       6469698       6140006       5851219       5582276       5342386       5121523       4911567       4726378       4549277       4384606       4239390       4096385       3961852       3847870       3723530       3612935       3513890       3415342       3323780       3233701       3151788       3073108       2996026       2926990       2858045       2792509       2730826       2670997       2614407       2559169       2506874       2458421       2406397       2364950       2317348       2274625       2233923       2192604       2155917       2117415       2083261       2048057       2013510       1978969       1940750       1850564       
0.950 1            1               51.408          1747        112         199         423         3141440275    3104066296    14596771      0             71393034906   60685924242   3803886282    2174769028    378418584     195923246     115762317     71755745      45581719      29672035      19576424      13025428      8732851       5888966       3988735       2721671       1879478       1328953       977995        772828        665866        625454        631686        663372        716375        791645        899785        1054054       1276296       1576666       1952488       2402753       2895642       3409490       3898495       4310361       4616966       4775995       4777244       4619679       4313091       3894022       3407227       2882361       2369334       1887014       1466901       1114355       828152        606196        434489        308166        214796        145800        96131         60514         36178         20265         10541         5125          2143          820           255           73            9             2             0             
0.950 2            0.999985        1865.49         12268       4790        5362        6386        2000857427    1928379603    8347620       0             401038203520  273757368102  12110179257   1551400911    70767176      44360373      32077467      25073904      20670228      17625520      15384107      13661645      12284336      11168729      10236000      9459962       8774865       8190608       7683748       7226325       6829633       6466016       6145346       5855067       5586216       5343703       5118883       4916499       4727338       4550542       4388723       4233509       4097119       3965089       3842405       3725387       3614534       3510415       3414249       3319384       3234741       3147712       3064016       2986509       2907538       2827962       2739982       2648224       2539722       2413545       2266885       2089523       1880854       1639977       1379121       1107994       842568        597233        394339        234365        125925        59285         23628         7638          1826          327           27            
0.950 3            0.999999        138.533         608         255         285         335         4410831685    4379255980    7465379       0             489161722747  412054843218  18183009083   3491267883    500596249     189516225     89065519      44899505      22603568      11429463      5929399       3200459       1796407       1043145       626615        384699        243196        157306        103812        74558         60752         59866         73293         102126        148561        214952        306284        421834        563907        729064        915131        1118258       1324250       1531054       1722451       1895250       2041896       2154759       2240701       2294269       2319836       2323297       2305892       2271864       2219593       2148796       2052694       1935592       1795585       1635195       1455442       1264682       1070047       878818        699370        532866        390920        271622        178383        109074        61699         31717         14349         5529          1741          363           53            
0.900 0            0.999986        1723.86         10910       3324        3808        4726        595206313     507221762     27576417      0             178655010963  103218782005  21032848994   135880484     60915100      40952706      30718610      24569355      20480976      17550242      15360997      13653082      12289732      11174416      10243479      9450150       8781490       8191364       7673483       7231220       6828104       6470493       6143271       5854009       5587475       5339734       5120089       4916123       4725083       4552449       4387912       4237991       4096276       3960204       3840448       3721549       3610980       3508373       3412844       3318975       3233001       3152403       3071834       2995872       2926695       2859530       2792374       2731608       2671134       2612839       2559622       2506783       2457387       2411935       2361169       2321153       2274580       2232456       2194028       2158183       2120069       2081809       2049656       2014350       1981155       1929248       1756172       
0.900 1            1               28.5692         1578        62          111         263         3037429509    2996910720    26667019      0             38438035169   32716510977   3488431051    2061714974    387111595     197297231     115191797     70944386      44922265      29159158      19224363      12791310      8581127       5793199       3940737       2701505       1878444       1344183       1015013       833031        754586        753095        795046        855302        918091        980123        1049048       1139269       1273483       1471802       1746350       2104475       2532591       3006084       3492713       3938903       4314405       4566565       4682801       4640498       4445974       4124187       3699059       3226501       2734875       2252995       1817292       1435524       1120488       862326        655796        493859        364879        262937        183650        121609        76977         45263         24848         12407         5460          2069          724           207           42            11            2             
