#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.990 0            0.999972        3446.1          14580       5710        6490        7962        577948403     490840699     16262368      0             418557695376  238439844582  29194781082   122750352     60566129      40555649      30409663      24324951      20285920      17378650      15209763      13520261      12160062      11061062      10140837      9357620       8694512       8107100       7606397       7155549       6761535       6406515       6085539       5790902       5528508       5291150       5068558       4864415       4680405       4503128       4347166       4197942       4054244       3920408       3800552       3684232       3576777       3473046       3377356       3287147       3201587       3117909       3041531       2966023       2897244       2829973       2763017       2703001       2644741       2590783       2536435       2483644       2432724       2384304       2340755       2297107       2252921       2211263       2171890       2133110       2095880       2062940       2028835       1995030       1957780       1925736       1898238       
0.990 1            0.999998        187.562         4675        419         735         1383        3186026586    3147686304    1611544       0             257758832122  214074149079  1610225279    2303811655    354044135     177251451     102043740     61770081      38516103      24731269      16121346      10627759      7052025       4705999       3153041       2113082       1428374       968744        665355        467726        344721        277518        254508        272061        338222        460919        653833        935828        1314923       1798280       2380820       3031345       3723970       4402068       5009799       5491814       5789622       5876048       5746678       5410723       4904406       4274578       3589834       2897672       2251703       1684932       1207697       831223        551053        349510        215091        127319        72018         40268         21757         11215         5708          2762          1347          573           222           80            30            2             1             0             0             
0.990 2            0.999956        5413.28         24284       12374       13310       14974       2081858754    2012339523    1136881       0             1242994227927 857314090596  4480875135    1624159208    79378945      47080596      33161217      25525696      20808582      17631189      15322286      13579515      12193835      11069282      10140090      9355440       8691914       8112330       7601681       7158595       6763103       6402555       6081658       5797077       5531927       5288040       5072029       4864441       4681236       4506825       4342226       4194853       4054574       3923469       3798779       3686271       3576620       3475777       3376874       3282771       3192132       3109196       3021152       2936513       2851772       2757623       2656206       2537918       2404722       2246868       2066578       1858817       1622918       1371698       1110735       855771        622312        422593        262896        150440        76471         34130         12822         3898          889           165           13            
0.990 3            0.999992        1027.53         2990        1766        1873        2052        4377557667    4343002935    1450872       0             3883161718342 3161038764752 29302841140   3574242100    448453418     159555765     65334931      32183374      17921397      10410294      6145848       3690284       2265872       1424476       911235        593900        395090        271904        204353        176224        183377        222798        294857        396981        527741        682494        852571        1034205       1215506       1386504       1541052       1667201       1773947       1846633       1885759       1896343       1880300       1835137       1779355       1711962       1651903       1604611       1581954       1587675       1618731       1671379       1726633       1779021       1810880       1811563       1772917       1700781       1595343       1454298       1291018       1106502       913310        720775        534789        367052        230712        131043        63821         25695         8040          1824          209           
0.950 0            0.999982        2270.51         11383       4146        4738        5858        582383006     495273808     21516025      0             256648062920  147222575295  23713763778   127420850     60457824      40528830      30413528      24327898      20274302      17377343      15197114      13515195      12162122      11057780      10137837      9355782       8693362       8106915       7604645       7154660       6757721       6409788       6083432       5790692       5528097       5289708       5067903       4868403       4676901       4504096       4343524       4192675       4054582       3923369       3801687       3685536       3579822       3475379       3379712       3288135       3199587       3120879       3037423       2970363       2897550       2828728       2766041       2704031       2643643       2589280       2534739       2481221       2430904       2383662       2343126       2297016       2252118       2211400       2172358       2132007       2094526       2063927       2026263       1994104       1963683       1921812       1835466       
0.950 1            1               51.3916         1791        112         199         423         3109939053    3072924553    14436356      0             70655765849   60053887154   3761800645    2153033951    374601984     193975840     114581834     71006346      45122079      29353235      19370402      12893751      8645891       5826596       3946893       2693067       1860367       1314504       970835        766072        658404        620704        624228        657068        709093        784495        892931        1045637       1264366       1560192       1933203       2380183       2869517       3377388       3856652       4267935       4570253       4730077       4729251       4572092       4272128       3861392       3374210       2855507       2342028       1871734       1453556       1102797       819754        599302        430232        304031        212303        143939        94836         59909         35722         19872         10263         4929          2127          826           253           62            24            1             0             
0.950 2            0.999985        1865.34         11996       4790        5362        6386        1980706757    1908925307    8247405       0             397005688747  270944867108  11961973719   1535762540    70061386      43898745      31758271      24824643      20461274      17447079      15232011      13531659      12167264      11057317      10134252      9357542       8689025       8109750       7601860       7154413       6758519       6400003       6080285       5789847       5527341       5290218       5068320       4870291       4682249       4507719       4342170       4193725       4051617       3923082       3802574       3685967       3574211       3477474       3377328       3289187       3202193       3118634       3035481       2957086       2880371       2799240       2713454       2622346       2514884       2391199       2243629       2067051       1863325       1625243       1366494       1098119       834080        593034        390125        232942        124686        58653         23489         7550          1942          324           25            
0.950 3            0.999999        138.608         624         255         285         335         4365535514    4334282771    7222531       0             484392989628  407981552425  17617548072   3454030017    496427880     187838836     88233495      44461194      22395397      11319973      5875152       3164264       1778492       1034561       619748        381167        240291        155498        103353        73186         59035         59089         71561         100066        144751        210391        300557        415418        553729        717819        902560        1103723       1308574       1511129       1707226       1879160       2021876       2140325       2223752       2277345       2304079       2306570       2290468       2252831       2201702       2126427       2032893       1918475       1776882       1616380       1438772       1249281       1054511       865872        688978        525315        384312        266810        174871        106781        60570         30814         13852         5421          1655          362           40            
0.900 0            0.999986        1721.09         9942        3320        3804        4722        589240282     502137048     27233249      0             176571320579  102015744590  20729798775   134505135     60289187      40534414      30410185      24334484      20280666      17377661      15204360      13517083      12165016      11059361      10141278      9360571       8690147       8114418       7605245       7160008       6759877       6404712       6084049       5794338       5526079       5290738       5068433       4867920       4678607       4505693       4345616       4196560       4055091       3924589       3803145       3686342       3578655       3472727       3379397       3288438       3198310       3122354       3041698       2967975       2895749       2827142       2765120       2704355       2645418       2588027       2534044       2482857       2433416       2386117       2337061       2295786       2254086       2211218       2171041       2134142       2096643       2059329       2024927       1992734       1961658       1910946       1737904       
0.900 1            1               28.4912         1452        62          111         263         3006750673    2966617310    26437458      0             37963241236   32309510656   3451827516    2040891048    383275931     195271166     113994388     70214973      44452570      28878948      19021415      12654354      8490011       5733789       3897083       2673950       1858664       1332395       1003570       824542        749283        747443        786636        848837        910508        973481        1040047       1129087       1260373       1457080       1730160       2084380       2505562       2975165       3452992       3901193       4267880       4524508       4634413       4593330       4401621       4085479       3668547       3198643       2704429       2232423       1799691       1424586       1107439       854477        651791        489276        361354        260524        181682        120729        76421         44851         24695         12266         5472          2132          749           186           48            7             0             
