#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.990 0            0.999975        3105.12         13392       5306        6166        7682        583667274     495687959     4513472       0             381737669417  216599900524  8179990060    123987310     61098436      40939269      30718174      24581860      20481861      17547577      15361075      13656551      12290487      11173053      10240688      9446847       8776795       8192315       7679420       7230952       6824914       6464830       6142010       5852825       5585665       5340608       5117939       4918627       4725719       4549994       4392182       4237569       4093932       3964553       3839476       3718183       3613891       3511183       3415139       3318114       3234179       3150180       3073029       3000627       2924470       2856945       2792066       2732360       2669748       2612603       2559536       2506149       2459489       2410578       2363104       2316300       2276724       2235542       2195666       2155372       2119089       2082661       2046504       2014485       1982956       1941966       1924923       
0.990 1            0.999998        196.418         4760        439         769         1443        3219452784    3180404374    356415        0             272740956041  225977028934  392847462     2335033586    355741151     177423346     101873748     61544533      38327952      24575455      16004673      10544383      6993571       4661281       3119401       2096867       1410281       955933        656968        462872        340744        274611        252072        271012        336881        460931        658222        942636        1331911       1821806       2417716       3086537       3797598       4488988       5121220       5611472       5920137       6013009       5881177       5538259       5011689       4368967       3666082       2957783       2292632       1709456       1222328       839745        552247        350636        213975        125416        70534         38144         20508         10403         5115          2454          1064          450           152           49            13            2             0             0             0             
0.990 2            0.999954        5633.17         25299       12830       13782       15462       2101537379    2031287321    422569        0             1306576652487 900644882304  1981308884    1639528756    79831609      47533191      33518299      25787965      21022034      17809370      15479095      13713798      12312494      11181638      10240806      9457261       8779790       8191324       7678647       7231802       6829306       6466842       6144554       5853286       5585348       5340228       5123536       4916151       4725578       4553880       4384261       4235781       4095849       3966488       3834714       3725129       3609230       3508927       3410370       3315976       3230025       3139809       3052168       2968884       2878618       2787120       2680897       2562795       2429039       2273422       2092260       1878672       1644459       1388566       1123815       869428        631711        429754        268708        152678        78192         34779         13110         4032          949           158           18            
0.990 3            0.999992        931.989         2718        1616        1723        1901        4443462844    4408658992    233203        0             3557408337821 2878128983761 4560391142    3608806018    480624934     166909660     65626244      30723767      16407501      9269089       5340431       3141393       1887911       1166905       735166        471557        309189        207878        148299        118475        113091        129578        170173        233349        321268        430857        563723        714250        875493        1042519       1206048       1356569       1488786       1595161       1671347       1719746       1732674       1721405       1691022       1647392       1610404       1584001       1580033       1600028       1651101       1720389       1801051       1878398       1938649       1969888       1965740       1919461       1831039       1696835       1529066       1325198       1100682       863547        635228        430323        265078        143970        67632         26681         7760          1623          171           
0.950 0            0.999983        2027.52         11108       3822        4454        5570        588182465     500195872     5508835       0             232316991711  132254193738  6070700107    128701408     60943199      40952660      30724472      24573207      20486511      17556790      15360568      13657111      12290948      11175223      10240561      9454240       8774624       8188728       7672905       7224295       6826672       6468707       6145297       5851428       5585630       5341550       5121807       4918837       4725647       4553776       4386757       4235831       4094170       3962073       3839728       3722001       3613063       3511589       3414069       3325132       3234070       3147591       3072359       2998538       2926484       2857934       2793344       2729941       2668766       2615801       2560946       2506280       2458476       2407886       2360987       2320073       2276776       2234408       2193805       2156806       2117898       2080914       2048205       2012551       1982367       1938139       1859906       
0.950 1            1               49.8864         1676        109         191         405         3142668580    3105112079    1767954       0             70237664628   59091180566   498469324     2178663781    377836418     195137092     115236024     71417652      45364642      29522537      19461077      12957322      8681643       5844618       3958783       2699221       1865154       1323138       983584        782023        683697        649150        655403        690144        737470        805539        905032        1052461       1266016       1554754       1928547       2374788       2877564       3390583       3883941       4309662       4623933       4793856       4804423       4647308       4349334       3931991       3444726       2920071       2398089       1914998       1487466       1128567       836824        609227        434245        303220        206144        136101        86725         52606         30142         15810         7845          3423          1395          464           143           32            9             3             0             
0.950 2            0.999984        1929.18         12282       4886        5434        6406        1994839641    1922239604    2644919       0             415507738396  282720118492  4573938522    1546077746    70003330      44273437      32068057      25077223      20673535      17630017      15394292      13665646      12291824      11171557      10241367      9458993       8781331       8190662       7679289       7228580       6823451       6468710       6145820       5849109       5584529       5343430       5123168       4913018       4727463       4552718       4386527       4238641       4094623       3962509       3841933       3722542       3613107       3512330       3413043       3320900       3230398       3144475       3067578       2986539       2906878       2828135       2743795       2651760       2544032       2419806       2274023       2097730       1892331       1653875       1393541       1120908       854814        610274        403450        242754        130859        61914         24912         8009          2054          307           33            
0.950 3            0.999999        161.152         664         300         331         385         4397037620    4365910393    877197        0             565211754849  475237474273  2526082415    3432223063    535903852     197082841     91203146      46233280      23342153      11674859      5923487       3099167       1685159       951132        554946        332799        204788        129239        83883         57438         43915         40531         47312         64686         95246         142769        210273        301077        417031        559934        726113        917599        1123926       1340284       1558191       1766061       1958106       2125653       2268969       2377552       2449838       2486073       2493995       2462480       2397489       2298322       2170934       2012453       1829287       1626988       1408831       1185589       970943        765966        579540        420525        289595        187696        113136        63253         31891         14377         5605          1842          430           74            8             
0.900 0            0.999988        1508.27         8739        2994        3476        4350        595045341     507073139     6428490       0             157195382147  89705813484   4807822647    135947786     60709355      40930021      30705479      24577402      20479786      17556328      15363079      13649544      12287832      11173611      10242631      9454692       8780998       8193873       7678455       7231609       6821990       6464393       6142354       5852126       5587337       5338595       5115316       4914798       4726164       4548682       4389727       4237144       4097031       3959373       3840505       3725155       3613418       3508411       3413833       3320671       3235140       3147343       3073217       2997163       2928003       2858790       2791475       2730104       2672795       2617620       2562945       2508156       2457070       2409915       2364383       2316677       2274075       2235640       2195170       2154761       2117313       2081305       2049315       2015616       1979562       1926574       1765710       
0.900 1            1               22.4016         1259        48          84          203         3015754556    2974150217    2135223       0             32651287266   26843303543   267173007     2043443847    386863290     196187884     114272756     70258642      44413082      28773154      18919921      12567638      8419419       5681789       3860504       2652064       1858285       1350394       1048510       894915        847681        873744        938402        1011919       1078461       1125935       1169070       1222675       1316163       1474430       1714553       2043498       2444382       2904906       3376255       3832783       4214041       4494439       4634041       4620413       4457787       4161431       3770980       3311206       2833620       2359902       1925549       1541605       1219457       946630        724731        543935        400040        284295        191809        123212        74624         42010         21448         10053         4188          1560          445           129           23            1             1             
