#Load Traffic-Mode Throughput      Mean-Delay      Max-Delay   P90-Delay   P95-Delay   P99-Delay   cycles        cycles-ourob  cycles-wrong  cycles-bc     cyc-weights   ocyc-weights  wcyc-weights  CS-1          CS-2          CS-3          CS-4          CS-5          CS-6          CS-7          CS-8          CS-9          CS-10         CS-11         CS-12         CS-13         CS-14         CS-15         CS-16         CS-17         CS-18         CS-19         CS-20         CS-21         CS-22         CS-23         CS-24         CS-25         CS-26         CS-27         CS-28         CS-29         CS-30         CS-31         CS-32         CS-33         CS-34         CS-35         CS-36         CS-37         CS-38         CS-39         CS-40         CS-41         CS-42         CS-43         CS-44         CS-45         CS-46         CS-47         CS-48         CS-49         CS-50         CS-51         CS-52         CS-53         CS-54         CS-55         CS-56         CS-57         CS-58         CS-59         CS-60         CS-61         CS-62         CS-63         CS-64         
0.990 0            0.999975        3083.46         13869       5258        6110        7630        577832827     490715258     4419107       0             375336136330  212946823819  7916874982    122714097     60492992      40553860      30409929      24328969      20277161      17380152      15206803      13515272      12165251      11059780      10139373      9353854       8694006       8114279       7601681       7153677       6763313       6401557       6081933       5790093       5529776       5290544       5072515       4869707       4679504       4506139       4345889       4195356       4053249       3919818       3799169       3685419       3575518       3476640       3378908       3289270       3201417       3121418       3040307       2969320       2897202       2829207       2765762       2704022       2644256       2587400       2534243       2484005       2433518       2387578       2339421       2292242       2255333       2212094       2170679       2132578       2096560       2061462       2025520       1994057       1962255       1921496       1904022       
0.990 1            0.999998        191.619         4957        428         749         1412        3187860804    3149275528    347695        0             263758508734  218659770798  374989191     2310846093    352625890     176010038     101119012     61114986      38070990      24410213      15906327      10470173      6940479       4632191       3095470       2078805       1401088       950522        651550        459011        339942        273231        252080        270199        335991        458708        651990        932988        1314129       1800114       2383397       3047575       3745195       4436904       5051955       5538276       5849768       5939293       5804731       5465739       4953209       4318907       3619031       2919112       2265011       1689217       1207814       829557        548382        348091        212186        125309        70880         38514         20416         10658         5228          2490          1029          464           180           57            15            3             1             0             0             
0.990 2            0.999953        5646.56         24935       12854       13806       15486       2080761811    2011233107    450745        0             1296836433397 894100603825  2152076461    1623218944    79184741      47056617      33172361      25523999      20818663      17636789      15330104      13579272      12194026      11070641      10145273      9362290       8691765       8109433       7602908       7158887       6755843       6406582       6088642       5791601       5528494       5289218       5069958       4864197       4675169       4505830       4344413       4194676       4055369       3926182       3802689       3685309       3576039       3475837       3379418       3283921       3191906       3106505       3021495       2940578       2849918       2757854       2653650       2536585       2404198       2250051       2071077       1858529       1624003       1370994       1114348       857639        625127        424123        265894        152134        77047         34033         12858         4052          931           166           16            
0.990 3            0.999992        1001.7          2964        1744        1868        2074        4419672344    4385319177    246340        0             3785182675150 3054213957198 5281632688    3578756695    492075864     168508335     64767486      29601554      15553053      8676312       4936689       2853470       1689366       1027903       641086        408622        266268        177335        124612        97532         90201         101337        130864        178548        248019        334966        443211        570494        707225        854532        997439        1140510       1264760       1377629       1460646       1519526       1552537       1564823       1559824       1544591       1533715       1533640       1553755       1598249       1670329       1757747       1853464       1943852       2016518       2053446       2053102       2007050       1913696       1774845       1594927       1381153       1140320       889933        650780        436868        265668        143829        66878         25440         7581          1538          157           
0.950 0            0.999984        2015.99         11710       3798        4426        5542        582240984     495142632     5450184       0             228725999713  130216119883  5955062548    127400873     60322800      40528148      30417993      24332643      20274329      17369760      15201756      13511538      12175417      11056621      10138079      9358433       8691972       8109854       7595753       7155723       6759042       6401925       6081024       5792859       5528977       5288748       5069860       4864757       4677860       4506208       4343254       4197615       4054767       3924410       3803168       3688158       3579141       3476653       3376925       3286708       3199161       3117865       3042624       2970169       2892634       2829206       2766031       2705097       2643691       2591595       2533648       2480533       2433009       2384097       2337235       2297184       2250249       2211963       2170569       2132623       2098150       2063589       2026868       1993797       1963531       1918988       1843127       
0.950 1            1               49.1636         1603        108         189         400         3107477877    3070054911    1753202       0             68481133129   57535202117   486182891     2154193059    374256092     192985192     113810040     70411045      44682897      29053822      19141992      12730152      8527576       5740907       3887194       2648503       1829416       1298066       965324        772871        677004        646739        657229        690262        739844        805641        902925        1049201       1255287       1543743       1911749       2351564       2842773       3355669       3846027       4271306       4582744       4752326       4765335       4622415       4325993       3920886       3429984       2908569       2394466       1914039       1488785       1131818       841799        614848        439631        307869        210200        139911        89788         53789         31068         16686         8121          3633          1357          510           152           36            7             1             0             
0.950 2            0.999984        1925.87         12064       4878        5422        6390        1975102774    1903220668    2681215       0             410718669673  279469082259  4644516327    1530768746    69382526      43839790      31743702      24824946      20466355      17452933      15240389      13525918      12163812      11057313      10137021      9357039       8693078       8109232       7599851       7153390       6754719       6404207       6079853       5792205       5527971       5293833       5068494       4868159       4677625       4507012       4342756       4197208       4055554       3925194       3804041       3683449       3577913       3477787       3379819       3288974       3200484       3118153       3033952       2957295       2880306       2799608       2711798       2622449       2520285       2396801       2251804       2075693       1870395       1636352       1378077       1111018       845743        604312        399809        240312        129499        60712         24722         8009          1973          367           32            
0.950 3            0.999999        165.02          656         307         340         394         4356819927    4326106960    889090        0             572831441569  481931452572  2620070060    3398761935    532859780     195419952     90459008      45975009      23243147      11620984      5876294       3065506       1661695       935739        543605        324667        199304        124922        80721         55444         41740         38940         45456         61313         91967         137509        202139        289602        401563        539268        701988        885896        1089299       1300422       1516527       1723831       1915221       2085516       2229424       2344791       2423347       2462344       2470350       2444419       2381148       2280026       2153498       1996658       1811012       1607222       1393733       1171805       955390        750961        567441        410436        282739        183153        109905        61656         31076         13795         5408          1756          443           77            5             
0.900 0            0.999988        1501.5          9087        2980        3458        4334        589063462     501945417     6395838       0             154957827470  88413028472   4751668805    134573186     60109748      40520082      30409884      24329278      20263464      17373339      15200829      13512018      12164324      11062408      10133975      9356684       8690016       8108681       7599849       7158306       6753626       6401965       6083252       5791002       5530715       5289035       5069909       4868480       4678946       4505143       4344303       4195043       4051007       3921311       3804998       3683490       3576634       3477598       3378566       3288286       3203620       3120001       3042013       2966984       2897269       2830390       2764142       2703532       2644528       2590884       2533738       2480022       2436974       2385233       2341192       2294936       2253403       2212300       2171447       2135246       2098413       2061189       2028133       1993291       1960827       1906721       1747654       
0.900 1            1               22.1972         1358        48          84          202         2981140730    2939758387    2011574       0             31856661614   26144744730   246770306     2018965930    383243712     194151009     112982961     69396362      43823863      28375989      18645281      12385537      8289802       5592593       3807217       2616951       1832691       1331504       1033786       882462        840464        867632        932486        1010576       1077287       1127003       1170391       1222101       1314981       1466801       1703205       2018467       2420796       2867549       3340026       3788751       4171328       4446936       4584531       4579471       4417928       4126802       3738504       3288202       2812208       2348086       1918980       1542484       1217860       950980        731893        552560        407331        290694        198417        127813        77856         43807         22444         10524         4654          1648          475           117           27            3             1             
